#,Àlies,Org.,Pro.,Eco.,Descripció,Crèdits inicials,Modificacions de crèdit,Crèdits totals consignats,Obligacions reconegudes,de crèdits disponibles,de crèdits disp. a nivell de vinculació,de crèdits retinguts pendents d'ús,de despeses autoritzades,de despeses compromeses,d'obligacions reconegudes,Disponible de Remanentes por aplicación,Disponible de Remanentes por aplicación
,,SG3,9202.0,1300001.0,BASIQUES LAB.-SERVEIS JURÍDICS......,97629.0,,97629.0,97629.0,,447.89,,,,,,
,,SG4,9311.0,1300001.0,BASIQUES LAB.- INTERVENCIO ...,39006.0,,39006.0,39006.0,,447.89,,,,,,
,,SG4,9324.0,1300001.0,BASIQUES LAB.- GESTIÓ TRIBUTÀRIA I RECAPTACIÓ,82087.0,,82087.0,82087.0,,447.89,,,,,,
,,SG5,1300.0,1300001.0,BASIQUES LAB.- POLICIA ........,9902.0,,9902.0,9902.0,,,,,,,,
,,SP1,2304.0,1300001.0,BASIQUES LAB.- ASSISTÈNCIA PRIMÀRIA,163456.0,,163456.0,163456.0,,2763.65,,,,,,
,,SP1,2305.0,1300001.0,BASIQUES LAB.- MEDIACIÓ SOCIAL,54685.0,,54685.0,54685.0,,2763.65,,,,,,
,,SP1,2410.0,1300001.0,BASIQUES LAB.- FORMACIÓ,36298.0,,36298.0,36298.0,,2763.65,,,,,,
,,SP1,3120.0,1300001.0,BASIQUES LAB.- R.G.A. .........,711051.0,,711051.0,711051.0,,4769.23,,,,,,
,,SP1,3130.0,1300001.0,BASIQUES LAB.-SANITAT ........,15154.0,,15154.0,15154.0,,4769.23,,,,,,
,,SP1,3131.0,1300001.0,BASIQUES LAB.-LLACER,8611.0,,8611.0,8611.0,,4769.23,,,,,,
,,SP2,3210.0,1300001.0,BASIQUES LAB.- EDUCACIO ......,91514.0,,91514.0,91514.0,,4769.23,,,,,,
,,SP2,3233.0,1300001.0,BASIQUES LAB.- ESCOLES MUNICIPALS,16663.0,,16663.0,16663.0,,4769.23,,,,,,
,,SP2,3320.0,1300001.0,BASIQUES LAB.- CLAUSTRE CARME,10060.0,,10060.0,10060.0,,4769.23,,,,,,
,,SP2,3323.0,1300001.0,BASIQUES LAB.- ARXIU I PATR..,12055.0,,12055.0,12055.0,,4769.23,,,,,,
,,SP2,3346.0,1300001.0,BASIQUES LAB.-NORMALITZ.  LING.,21535.0,,21535.0,21535.0,,4769.23,,,,,,65000.0
,,SP2,3390.0,1300001.0,BASIQUES LAB.- CULTURA ........,88199.0,,88199.0,88199.0,,4769.23,,,,,,
,,SP3,3400.0,1300001.0,BASIQUES LAB.- ESPORTS .......,215408.0,,215408.0,215408.0,,4769.23,,,,,,
,,SG2,9205.0,1300101.0,HORES EXTRAORDINÀRIES.- RECURSOS HUMANS,8000.0,,8000.0,36427.41,-28427.41,447.89,,,,,,
,,CM1,1550.0,1300201.0,COMPLEM. LAB.- VIES PUBLIQUES..,53435.0,,53435.0,53435.0,,,,,,,,
,,CM1,1650.0,1300201.0,COMPLEM. LAB.- ENLLUMENAT .....,23280.0,,23280.0,23280.0,,,,,,,,8000.0
,,CM1,1690.0,1300201.0,COMPLEM. LAB.- CIUTAT I MEDI AMBIENT,108780.0,,108780.0,108780.0,,,,,,,,
,,CM1,1710.0,1300201.0,COMPLEM. LAB.- PARCS I JARD.,53685.0,,53685.0,53685.0,,,,,,,,
,,CM1,1720.0,1300201.0,COMPLEM. LAB.- MEDI AMBIENT,28092.0,,28092.0,28092.0,,,,,,,,
,,CM2,1511.0,1300201.0,COMPLEM. LAB.- URBANISME .....,59926.0,,59926.0,59926.0,,,,,,,,
,,CM3,1512.0,1300201.0,COMPLEM. LAB.- PROJECTES .....,85408.0,,85408.0,85408.0,,,,,,,,
,,SG1,9120.0,1300201.0,COMPLEM. LAB.-ALCALDIA,18714.0,,18714.0,18714.0,,447.89,,,,,,
,,SG1,9270.0,1300201.0,COMPLEM. LAB.- COMUNICACIO ..,6475.0,,6475.0,6475.0,,447.89,,,,,,
,,SG2,9200.0,1300201.0,COMPLEM. LAB.- OAC,65441.0,,65441.0,65441.0,,447.89,,,,,,
,,SG2,9205.0,1300201.0,COMPLEM. LAB.- REC. HUMANS...,58670.0,,58670.0,58670.0,,447.89,,,,,,
,,SG2,9206.0,1300201.0,COMPLEM. LAB.- INFORMATICA....,20317.0,,20317.0,20317.0,,447.89,,,,,,
,,SG3,4930.0,1300201.0,COMPLEM. LAB.- DEFENS. CONSUM.,6521.0,,6521.0,6521.0,,,,,,,,
,,SG3,9202.0,1300201.0,COMPLEM. LAB.-SERVEIS JURÍDICS ....,73800.0,,73800.0,73800.0,,447.89,,,,,,
,,SG4,9311.0,1300201.0,COMPLEM. LAB.- INTERVENCIO...,30489.0,,30489.0,30489.0,,447.89,,,,,,
,,SG4,9324.0,1300201.0,COMPLEM. LAB.- GESTIÓ TRIBUTÀRIA I RECAPTACIÓ,47823.0,,47823.0,47823.0,,447.89,,,,,,
,,SG5,1300.0,1300201.0,COMPLEM. LAB.- POLICIA .......,6136.0,,6136.0,6136.0,,,,,,,,
,,SP1,2304.0,1300201.0,COMPLEM. LAB.- ATENCIÓ PRIMÀRIA,98128.0,,98128.0,98128.0,,2763.65,,,,,,
,,SP1,2305.0,1300201.0,COMPLEM. LAB.- MEDIACIÓ SOCIAL,37102.0,,37102.0,37102.0,,2763.65,,,,,,
,,SP1,2410.0,1300201.0,COMPLEM. LAB.- FORMACIÒ.,23123.0,,23123.0,23123.0,,2763.65,,,,,,
,,SP1,3120.0,1300201.0,COMPLEM. LAB.- R.G.A. ........,422437.0,,422437.0,399437.0,23000.0,4769.23,,,,,,
,,SP1,3130.0,1300201.0,COMPLEM. LAB.-SANITAT .......,10982.0,,10982.0,10982.0,,4769.23,,,,,,
,,SP1,3131.0,1300201.0,COMPLEM. LAB.-LLACER,5522.0,,5522.0,5522.0,,4769.23,,,,,,
,,SP2,3210.0,1300201.0,COMPLEM. LAB.- EDUCACIO......,55640.0,,55640.0,55640.0,,4769.23,,,,,,
,,SP2,3233.0,1300201.0,COMPLEM. LAB.- ESCOLES MPALS.,19447.0,,19447.0,19447.0,,4769.23,,,,,,
,,SP2,3320.0,1300201.0,COMPLEM. LAB.- CLAUSTRE CARME,5239.0,,5239.0,5239.0,,4769.23,,,,,,
,,SP2,3323.0,1300201.0,COMPLEM. LAB.- ARXIU I PATR.,6521.0,,6521.0,6521.0,,4769.23,,,,,,
,,SP2,3346.0,1300201.0,COMPLEM. LAB.-NORMALITZ. LING.,13096.0,,13096.0,13096.0,,4769.23,,,,,,
,,SP2,3390.0,1300201.0,COMPLEM. LAB.- CULTURA .......,52565.0,,52565.0,52565.0,,4769.23,,,,,,
,,SP3,3400.0,1300201.0,COMPLEM. LAB.- ESPORTS ......,129081.0,,129081.0,129081.0,,4769.23,,,,,,165908.7
,,SG2,9205.0,1300202.0,INDEMNITZACIONS.- RECURSOS HUMANS,,,,23638.1,-23638.1,447.89,,,,,,
,,SG2,9205.0,1310001.0,PERS. EVENTUAL.- REC. HUMANS.,45589.0,,45589.0,148469.01,-102880.01,447.89,,,,,,
,,SP1,2304.0,1310001.0,LABORAL EVENTUAL.- ATENCIÓ PRIMÀRIA,100000.0,2756.18,102756.18,100555.19,2200.99,2763.65,,,,,,
,,SP1,2305.0,1310001.0,LABORAL TEMPORAL.- MEDIACIÓ SOCIAL,,32200.52,32200.52,32303.09,-102.57,2763.65,,,,,,
,,SP1,2410.0,1310001.0,LABORAL EVENTUAL,,14883.6,14883.6,14019.66,863.94,863.94,,,,,,
,,SP1,3120.0,1310001.0,PERS. EVENTUAL - R.G.A. ........,325000.0,-54000.0,271000.0,266794.95,4205.05,4769.23,,,,,,
,,SP2,3233.0,1310001.0,LABORAL EVENTUAL.- ESCOLES MUNICIPALS,100000.0,,100000.0,137665.1,-37665.1,4769.23,,,,,,
,,SG2,9205.0,1310002.0,PERSONAL EVENTUAL.- INDEMNITZACIONS,,,,3789.83,-3789.83,447.89,,,,,,
,,SG2,9205.0,1500001.0,PRODUCTIVITAT.- REC. HUMANS..,598429.0,,598429.0,339298.62,259130.38,447.89,,,,,,
,,CM1,1550.0,1600001.0,SEG. SOCIAL.- VIES PUBLIQUES...,70937.0,,70937.0,70937.0,,,,,,,,
,,CM1,1610.0,1600001.0,SEG. SOCIAL.- AIGUA I SANEJAMENT,15917.0,,15917.0,15917.0,,,,,,,,
,,CM1,1650.0,1600001.0,SEG. SOCIAL.- ENLLUMENAT ......,33658.0,,33658.0,33658.0,,,,,,,,
,,CM1,1690.0,1600001.0,SEG. SOCIAL.- CIUTAT I MEDI AMBIENT,88681.0,,88681.0,88681.0,,,,,,,,
,,CM1,1710.0,1600001.0,SEG. SOCIAL.- PARCS I JARDIN,52561.0,,52561.0,52561.0,,,,,,,,
,,CM1,1720.0,1600001.0,SEG. SOCIAL.- MEDI AMBIENT,20913.0,,20913.0,20913.0,,,,,,,,
,,CM2,1511.0,1600001.0,SEG. SOCIAL.- URBANISME ......,91927.0,,91927.0,91927.0,,,,,,,,
,,CM3,1512.0,1600001.0,SEG. SOCIAL.- PROJECTES ......,62451.0,,62451.0,62451.0,,,,,,,,
,,SG1,9120.0,1600001.0,SEG. SOCIAL.- ORG. GOVERN...,32374.0,,32374.0,29276.97,,447.89,3097.03,,,,,
,,SG1,9270.0,1600001.0,SEG. SOCIAL.- COMUNICACIO ...,16071.0,,16071.0,16071.0,,447.89,,,,,,
,,SG2,9200.0,1600001.0,SEG. SOCIAL.- OAC,56736.0,,56736.0,56736.0,,447.89,,,,,,
,,SG2,9205.0,1600001.0,SEG. SOCIAL.- REC. HUMANS ...,196260.0,,196260.0,182564.66,13695.34,447.89,,,,23511.38,,
,,SG2,9206.0,1600001.0,SEG. SOCIAL.- INFORMATICA ....,14267.0,,14267.0,14267.0,,447.89,,,,,,
,,SG3,4930.0,1600001.0,SEG. SOCIAL.- DEFENSA CONSUMID,6298.0,,6298.0,6298.0,,,,,,,,
,,SG3,9202.0,1600001.0,SEG.SOCIAL.-SERVEIS JURÍDICS ......,68801.0,,68801.0,68801.0,,447.89,,,,,,
,,SG3,9203.0,1600001.0,SEG. SOCIAL.- CONTRACTACIÓ ...,6810.0,,6810.0,6810.0,,447.89,,,,,,
,,SG4,4310.0,1600001.0,QUOTES SOCIALS- DINAMITZACIÓ COMERCIAL,12365.0,,12365.0,12365.0,,,,,,,,
,,SG4,9311.0,1600001.0,SEG. SOCIAL.- INTERVENCIO....,51043.0,,51043.0,53988.65,-2945.65,447.89,,,,,,
,,SG4,9324.0,1600001.0,SEG. SOCIAL.- GESTIÓ TRIBUTÀRIA I RECAPTACIO,72782.0,,72782.0,72782.0,,447.89,,,,,,
,,SG5,1300.0,1600001.0,SEG. SOCIAL.- POLICIA ........,544888.0,,544888.0,544888.0,,,,,,,,
,,SP1,2304.0,1600001.0,SEG. SOCIAL.- ATENCIÓ PRIMÀRIA,105329.0,1357.52,106686.52,100972.07,5714.45,2763.65,,,,,,
,,SP1,2305.0,1600001.0,SEG. SOCIAL.- MEDIACIÓ SOCIAL,40040.0,10339.2,50379.2,50143.22,235.98,2763.65,,,,,,
,,SP1,2410.0,1600001.0,SEG. SOCIAL.- FORMACIÓ,23237.0,,23237.0,28522.2,-5285.2,2763.65,,,,,,
,,SP1,3120.0,1600001.0,SEG. SOCIAL.- R.G.A. .........,361826.0,,361826.0,335101.38,26724.62,4769.23,,,,,,
,,SP1,3130.0,1600001.0,SEG. SOCIAL.-SANITAT ........,8076.0,,8076.0,8076.0,,4769.23,,,,,,
,,SP1,3131.0,1600001.0,SEG. SOCIAL.-LLACER,5173.0,,5173.0,5594.11,-421.11,4769.23,,,,,,
,,SP1,3370.0,1600001.0,SEG. SOCIAL.- JOVENTUT,6258.0,,6258.0,6258.0,,4769.23,,,,,,
,,SP2,3210.0,1600001.0,SEG. SOCIAL.- EDUCACIO ......,46804.0,,46804.0,46804.0,,4769.23,,,,,,
,,SP2,3233.0,1600001.0,SEG. SOCIAL.- ESCOLES MUNICIPALS,43658.0,,43658.0,54407.78,-10749.78,4769.23,,,,,,
,,SP2,3320.0,1600001.0,SEG. SOCIAL.- CLAUSTRE CARME,4728.0,,4728.0,4728.0,,4769.23,,,,,,
,,SP2,3323.0,1600001.0,SEG. SOCIAL.- ARXIU I PATR..,18030.0,,18030.0,18030.0,,4769.23,,,,,,
,,SP2,3346.0,1600001.0,SEG. SOCIAL.-NORMALITZ. LING..,10701.0,,10701.0,10701.0,,4769.23,,,,,,
,,SP2,3390.0,1600001.0,SEG. SOCIAL.- CULTURA ........,43496.0,,43496.0,43496.0,,4769.23,,,,,,
,,SP3,3400.0,1600001.0,SEG. SOCIAL.- ESPORTS .......,94000.0,,94000.0,94324.45,-324.45,4769.23,,,,,,
,,SG1,9120.0,1600101.0,SEG.SOCIAL.-ORG.GOVERN D.EX.,54084.0,,54084.0,54084.0,,447.89,,,,,,
,,SG2,9205.0,1610401.0,INDEMNIZACIÓ PER JUBILACIONS ANTICIPADES,,,,14621.43,-14621.43,447.89,,,,,,
,,SG2,9205.0,1620001.0,FUNCIONARIS.- FORMACIÓ,3335.0,,3335.0,4022.5,-687.5,447.89,,,,,,
,,SG2,9205.0,1620401.0,FUNCIONARIS.- ACCIO SOCIAL,30000.0,,30000.0,39984.12,-9984.12,447.89,,,,,,
,,SG2,9205.0,1630001.0,PERSONAL LABORAL.- FORMACIO,7000.0,,7000.0,7990.0,-990.0,447.89,,,,,,
,,CM1,1550.0,1630201.0,PLUS TRANSPORT.- VIAS PUBLIC.,3510.0,,3510.0,3510.0,,,,,,,,
,,CM1,1650.0,1630201.0,PLUS TRANSPORT.- ENLLUMENAT ..,1254.0,,1254.0,1254.0,,,,,,,,
,,CM1,1690.0,1630201.0,PLUS TRANSPORT.- CIUTAT I MEDI AMBIENT,5367.0,,5367.0,5367.0,,,,,,,,
,,CM1,1710.0,1630201.0,PLUS TRANSPORT.- PARQ.Y JARD.,3763.0,,3763.0,3763.0,,,,,,,,
,,CM1,1720.0,1630201.0,PLUS TRANSPORT.- MEDI AMBIENT,1602.0,,1602.0,1602.0,,,,,,,,
,,CM2,1511.0,1630201.0,PLUS TRANSPORT.- URBANISME...,3627.0,,3627.0,3627.0,,,,,,,,
,,CM3,1512.0,1630201.0,PLUS TRANSPORT.- OF.PROJECTES,3589.0,,3589.0,3589.0,,,,,,,,
,,SG1,9120.0,1630201.0,PLUS TRANSPORTE.- ALCALDIA,1428.0,,1428.0,1428.0,,447.89,,,,,,
,,SG1,9270.0,1630201.0,PLUS TRANSPORT.- COMUNICACIO,200.0,,200.0,200.0,,447.89,,,,,,
,,SG2,9200.0,1630201.0,PLUS TRANSPORT.- OAC,4458.0,,4458.0,4458.0,,447.89,,,,,,
,,SG2,9205.0,1630201.0,PLUS TRANSPORT.- REC.HUMANS.,3501.0,,3501.0,3501.0,,447.89,,,,,,
,,SG2,9206.0,1630201.0,PLUS TRANSPORT.- INFORMATICA.,1010.0,,1010.0,1010.0,,447.89,,,,,,
,,SG3,4930.0,1630201.0,PLUS TRANSPORT.- CONSUM,505.0,,505.0,505.0,,,,,,,,
,,SG3,9202.0,1630201.0,PLUS TRANSPORT.-SERVEIS JURÍDICS..,3623.0,,3623.0,3623.0,,447.89,,,,,,
,,SG4,9311.0,1630201.0,PLUS TRANSPORT.- GEST.PRESUP.,1428.0,,1428.0,1428.0,,447.89,,,,,,
,,SG4,9324.0,1630201.0,PLUS TRANSPORT.- GESTIÓ TRIBUTÀRIA I RECAPTACIÓ,3101.0,,3101.0,3101.0,,447.89,,,,,,
,,SG5,1300.0,1630201.0,PLUS TRANSPORT.- POLICIA.....,418.0,,418.0,418.0,,,,,,,,
,,SP1,2304.0,1630201.0,PLUS TRANSPORTE.- ASISTENCIA SOCIAL,6708.0,,6708.0,6708.0,,2763.65,,,,,,
,,SP1,2305.0,1630201.0,PLUS TRANSPORTE.- MEDIACIÓ SOCIAL,2021.0,,2021.0,2021.0,,2763.65,,,,,,
,,SP1,2410.0,1630201.0,PLUS TRANSPORT.- FORMACIÓ,1602.0,,1602.0,1602.0,,2763.65,,,,,,
,,SP1,3120.0,1630201.0,PLUS TRANSPORT.- R.G.A. .....,29493.0,,29493.0,29493.0,,4769.23,,,,,,
,,SP1,3130.0,1630201.0,PLUS TRANSPORT.-SANITAT.....,505.0,,505.0,505.0,,4769.23,,,,,,
,,SP1,3131.0,1630201.0,PLUS TRANSPORT.-LLACER,376.0,,376.0,376.0,,4769.23,,,,,,
,,SP2,3210.0,1630201.0,PLUS TRANSPORT.- EDUCACIO...,3847.0,,3847.0,3847.0,,4769.23,,,,,,
,,SP2,3233.0,1630201.0,PLUS TRANSPORT.- ESCOLES MUNICIPALS,697.0,,697.0,697.0,,4769.23,,,,,,
,,SP2,3320.0,1630201.0,PLUS TRANSPORT.- CLAUSTRE CARME,418.0,,418.0,418.0,,4769.23,,,,,,
,,SP2,3323.0,1630201.0,PLUS TRANSPORT.- ARXIU I P.,505.0,,505.0,505.0,,4769.23,,,,,,
,,SP2,3346.0,1630201.0,PLUS TRANSP. LAB.-NORMALITZ.L.,801.0,,801.0,801.0,,4769.23,,,,,,
,,SP2,3390.0,1630201.0,PLUS TRANSPORT.- CULTURA.....,3483.0,,3483.0,3483.0,,4769.23,,,,,,
,,SP3,3400.0,1630201.0,PLUS TRANSPORT.-.M.ESPORTS,8923.0,,8923.0,8923.0,,4769.23,,,,,,
,,SG2,9205.0,1630401.0,PERSONAL LABORAL.- ACCIO SOC.,70000.0,,70000.0,149947.02,-79947.02,447.89,,,,,,
,,SG2,9205.0,1630501.0,PERSONAL LABORAL.-ASSEGURANCES,4500.0,,4500.0,8300.7,-3800.7,447.89,,,,,,
,,SG5,1300.0,2000001.0,LLOGUER TERRENYS.- POLICIA,138000.0,,138000.0,122806.04,15193.96,27632.86,,,,1255.17,,
,,CM1,1695.0,2020001.0,LLOGUERS D'EDIFICIS- BRIGADA OBRES,16353.0,,16353.0,19070.9,-2717.9,30073.13,,,,1337.12,,
,,SG4,9311.0,2020001.0,LLOGUER EDIFICI SANT ROC .- GESTIÓ PRES.,28100.0,,28100.0,29988.91,1208.12,9325.45,-3097.03,,,,,
,,SG5,1300.0,2020001.0,LLOGUERS D'EDIFICIS- POLICIA,22000.0,,22000.0,21601.08,398.92,27632.86,,,,1800.09,,
,,SP1,2304.0,2020001.0,LLOGUERS D'EDIFICIS.- ATENCIO PRIMARIA,20170.0,,20170.0,18641.93,1528.07,82631.21,,,,,,
,,SP2,3323.0,2020001.0,LLOGUER DEPENDÈNCIES - ARXIU,27250.0,,27250.0,27854.21,-604.21,6435.62,,,,,,
,,CM1,1650.0,2030001.0,"LLOGUERS MAQUINARIA, INSTAL. I ESTRIS",,,,,,,,,,,,
,,SG3,9203.0,2030001.0,LLOGUER MAQUINARIA.- CONTRACTACIO,17250.0,,17250.0,24384.76,-7134.76,9325.45,,,,1823.35,,
,,CM1,1695.0,2040001.0,LLOGUER VEHICLES.- BRIGADA OBRES,32000.0,,32000.0,74115.01,-42115.01,30073.13,,,,3020.03,,
,,SG5,1300.0,2040001.0,LLOGUER VEHICLES.- POLICIA,7000.0,,7000.0,,7000.0,27632.86,,,,,,
,,CM1,1550.0,2100001.0,REP.MANT.VIES PUBL.- VIES PUBLIQUES,40000.0,,40000.0,163441.97,-123441.97,30073.13,,,,86.11,,
,,CM1,1710.0,2100001.0,REP.MANT.VIES PUBL.- PARCS I JARDINS,60000.0,,60000.0,128768.64,-68768.64,30073.13,,,,,,
,,SG5,1300.0,2100001.0,CONSERVACIÓ VIES PÚBLIQUES.- POLICIA,4000.0,,4000.0,14329.75,-10329.75,27632.86,,,,,,
,,CM1,1550.0,2100002.0,REP. MANT. VIES PUBL.- PROGRAMA LEADER CAIB 2011,25000.0,,25000.0,25000.0,,30073.13,,,,,,
,,CM1,1695.0,2120001.0,REP.MANT.EDIFICIS.-  BRIGADA OBRES,13000.0,,13000.0,143697.94,-130697.94,30073.13,,,,84.7,,
,,SG5,1300.0,2120001.0,REP.MANT.EDIFICIS.- POLICIA,1000.0,,1000.0,960.41,39.59,27632.86,,,,,,
,,SP1,3120.0,2120001.0,REP.MANT.EDIFICIS.- RGA,6000.0,,6000.0,5293.77,706.23,1610.52,,,,,,
,,SP1,3130.0,2120001.0,EDIFICIS I ALTRES CONSTRUCCIONS.- CEMENTIRI,4000.0,-366.0,3634.0,130.26,3503.74,1610.52,,,,,,
,,SP2,3210.0,2120001.0,REP.MANT.EDIFICIS.- EDUCACIO,30000.0,,30000.0,28504.72,1495.28,6435.62,,,,,,
