#P,E,N. Operació,Fase,Data,Referència,Projecte,Aplicació,Import,Saldo,Exercici,Orgànica,Programa,Econòmica,tercer,Nom terc.,Text lliure,Document,Data doc.,Nº Registro Factura
3,4,2.20180005393e+11,R,43209.0,22018000228.0,,2018 SP3 3344 4800311,200.0,200.0,2018.0,SP3,3344,4800311,G07475676,AAVV MOLI D'ES PLA,PAGAMENT  PRIMER DEL SEGON PREMI MILLOR CARROSSA PREMIS CARNAVAL 2018,,,
9,4,2.20180027772e+11,R,43453.0,22018002675.0,,2018 SG1 9120 4800114,1000.0,1000.0,2018.0,SG1,9120,4800114,G07589674,AAVV SA MESQUIDA,PAGAMENT SUBVENCIÓ NOMINATIVA A AV SA MESQUIDA 2018,,,
9,4,2.20180010415e+11,R,43266.0,22017001962.0,,2018 SG1 9120 4800114,2800.0,2800.0,2018.0,SG1,9120,4800114,G07203672,AAVV SANT CLIMENT,PAGAMENT SUBVENCIO NOMINATIVA AAVV SANT CLIMENT,,,
9,4,2.20180027554e+11,R,43453.0,22017002322.0,,2018 SG1 9120 4800114,1500.0,1500.0,2018.0,SG1,9120,4800114,G57596116,AAVV SES TANQUES DEL CARME,PAGAMENT SUBVENCIÓ NOMINATIVA A L'AV TANQUES DEL CARME   2017,,,
1,7,2.20180021679e+11,R,43392.0,22015000271.0,,2018 CM1 1610 7510001,278981.33,278981.33,2018.0,CM1,1610,7510001,Q0700507G,ABAQUA - AGENCIA BALEAR DE L'AIGUA I DE LA QUALITAT AMBIENTAL,APORTACIÓ SOBRE CERTIFICACIONS 1-9 PER OBRES D'ABASTIMENT AIGUA LLUCMAÇANES - E0593.2017.000045,,,
2,2,2.20180027654e+11,R,43453.0,22018004756.0,,2018 SG8 2410 2269901,572.06,572.06,2018.0,SG8,2410,2269901,B66402017,ABASTECEDORA MENORQUINA SL,REPARACIO VEHICLE FORMACIO,525,43175.0,F/2018/7958
1,2,2.20180022395e+11,R,43397.0,22018003751.0,,2018 SG5 1300 2140001,53.2,53.2,2018.0,SG5,1300,2140001,41493388P,ABELLAN GELABERT JUAN JOSE (MOTOS GELABERT),COPIA CLAU MOTO POLICIA,10590,43368.0,F/2018/7120
1,2,2.20181001095e+11,R,43143.0,22017002494.0,,2017 SG5 1300 2140001,108.43,108.43,2017.0,SG5,1300,2140001,41493388P,ABELLAN GELABERT JUAN JOSE (MOTOS GELABERT),FRENS MOTOS POLICIA,10025,43095.0,F/2017/8322
1,2,2.20180011056e+11,R,43273.0,22018001174.0,,2018 CM2 1512 2270601,1210.0,1210.0,2018.0,CM2,1512,2270601,J57194581,ABRIL CONSULTORIA AGROAMBIENTAL SC,PROJECTE SANEJAMENT ES CANUTELLS,2017-12-04,43089.0,F/2018/663
1,2,2.20180008164e+11,R,43242.0,22018000198.0,,2018 CM1 1610 2270601,4434.65,4434.65,2018.0,CM1,1610,2270601,J62807318,ACCIO-2 ENGINYERS SCP,MEMÒRIA ETAP MALBÚGER,09,43217.0,F/2018/2769
1,6,2.20180023798e+11,R,43416.0,22018000917.0,,2018 CM1 1610 6090117,34391.02,34391.02,2018.0,CM1,1610,6090117,A08112716,ACSA OBRAS E INFRAESTRUCTURAS SAU,"FACTURA CORRESPONDIENTE A LA CERTIFICACIÓN NÚMERO 2 DEL MES DE AGOSTO DE 2018 """"PROJECTE DE EXECUCIÓ DE DOTACIÓ DE SANEJA",288,43376.0,F/2018/7116
1,6,2.20180025336e+11,R,43430.0,22018000917.0,,2018 CM1 1610 6090117,154561.73,154561.73,2018.0,CM1,1610,6090117,A08112716,ACSA OBRAS E INFRAESTRUCTURAS SAU,"FACTURA CORRESPONDIENTE A LA CERTIFICACIÓN NÚMERO 3 DEL """"PROJECTE DE EXECUCIÓ DE DOTACIÓ SANEJAMENT A CALA LLONGA""""_AGOST",297,43390.0,F/2018/7289
1,6,2.20180025338e+11,R,43430.0,22018000917.0,,2018 CM1 1610 6090117,55337.29,55337.29,2018.0,CM1,1610,6090117,A08112716,ACSA OBRAS E INFRAESTRUCTURAS SAU,"FACTURA CORRESPONDIENTE A LA CERTIFICACIÓN NÚMERO 1 DEL MES DE JULIO DE 2018 """"PROJECTE DE EXECUCIÓ DE DOTACIÓ DE SANEJAM",287,43376.0,F/2018/7115
1,6,2.20180027541e+11,R,43453.0,22018000917.0,,2018 CM1 1610 6090117,255231.57,255231.57,2018.0,CM1,1610,6090117,A08112716,ACSA OBRAS E INFRAESTRUCTURAS SAU,"FACTURA CORRESPONDIENTE A LA CERTIFICACIÓN NÚMERO 4 DE LAS OBRAS """"PROJECTE DE EXECUCIÓ DE DOTACIÓ DE SANEJAMENT A CALA L",317,43419.0,F/2018/7844
3,2,2.201800276e+11,R,43453.0,22018004498.0,,2018 SP3 3380 2269901,125.01,125.01,2018.0,SP3,3380,2269901,B65758427,ACTURA 12 SL,Actuació Pau Cardona Coll CONCERT YONDER CHOIR,10622,43413.0,F/2018/7706
3,2,2.20180022203e+11,R,43397.0,22018000215.0,,2018 SP3 3380 2269901,3000.0,3000.0,2018.0,SP3,3380,2269901,B16505893,ACUSTIC LIVE SL,FESTES DE GRACIA 2018. DIA 8 DE SETEMBRE. ACTUACIÓ DEL GRUP LA MOVIDA BAND.,2018117,43355.0,F/2018/6472
3,2,2.20180025193e+11,R,43427.0,22018004242.0,,2018 SP3 3344 2269901,724.96,724.96,2018.0,SP3,3344,2269901,B57051575,ACUSTIC MENORCA SL,FESTIVAL SOLIDARIO CONTRA LAS PROSPECCIONES SISMICAS EN LAS Islas Baleares - 30.06.18 - PUERTO DE MAO - HORARIO APROXIMA,180257,43284.0,F/2018/7607
2,2,2.20180003792e+11,R,43185.0,22018000359.0,,2018 SP1 2311 2279901,93.5,93.5,2018.0,SP1,2311,2279901,B07047525,ADALMO SL,ENTREGA Y/O RETIRADA DEPOSITOS SANITARIOS MENORCA / RESIDUO SANITARIO GRUPO III (DEPOSITO 10L),29051,43131.0,F/2018/827
2,2,2.20180006044e+11,R,43214.0,22018000359.0,,2018 SP1 2311 2279901,93.5,93.5,2018.0,SP1,2311,2279901,B07047525,ADALMO SL,ENTREGA Y/O RETIRADA DEPOSITOS SANITARIOS MENORCA / RESIDUO SANITARIO GRUPO III (DEPOSITO 10L),29690,43159.0,F/2018/1597
2,2,2.20180007946e+11,R,43242.0,22018000359.0,,2018 SP1 2311 2279901,93.5,93.5,2018.0,SP1,2311,2279901,B07047525,ADALMO SL,RETIRADA MATERIAL PERILLOS RGA,30351,43190.0,F/2018/2451
2,2,2.2018000821e+11,R,43242.0,22018000359.0,,2018 SP1 2311 2279901,93.5,93.5,2018.0,SP1,2311,2279901,B07047525,ADALMO SL,ENTREGA Y/O RETIRADA DEPOSITOS SANITARIOS MENORCA / RESIDUO SANITARIO GRUPO III (DEPOSITO 10L),31152,43220.0,F/2018/2993
2,2,2.20180011177e+11,R,43273.0,22018000359.0,,2018 SP1 2311 2279901,66.0,66.0,2018.0,SP1,2311,2279901,B07047525,ADALMO SL,ENTREGA Y/O RETIRADA DEPOSITOS SANITARIOS MENORCA / RESIDUO SANITARIO GRUPO III (DEPOSITO 10L),31928,43251.0,F/2018/3899
2,2,2.20180014774e+11,R,43325.0,22018000359.0,,2018 SP1 2311 2279901,93.5,93.5,2018.0,SP1,2311,2279901,B07047525,ADALMO SL,ENTREGA Y/O RETIRADA DEPOSITOS SANITARIOS MENORCA / RESIDUO SANITARIO GRUPO III (DEPOSITO 10L),32335,43281.0,F/2018/4504
2,2,2.20180017645e+11,R,43367.0,22018000359.0,,2018 SP1 2311 2279901,93.5,93.5,2018.0,SP1,2311,2279901,B07047525,ADALMO SL,ENTREGA Y/O RETIRADA DEPOSITOS SANITARIOS MENORCA / RESIDUO SANITARIO GRUPO III (DEPOSITO 10L),33290,43312.0,F/2018/5016
2,2,2.20180021057e+11,R,43384.0,22018000359.0,,2018 SP1 2311 2279901,66.0,66.0,2018.0,SP1,2311,2279901,B07047525,ADALMO SL,ENTREGA Y/O RETIRADA DEPOSITOS SANITARIOS MENORCA / RESIDUO SANITARIO GRUPO III (DEPOSITO 10L),34188,43343.0,F/2018/5801
2,2,2.20180025215e+11,R,43427.0,22018000359.0,,2018 SP1 2311 2279901,121.0,121.0,2018.0,SP1,2311,2279901,B07047525,ADALMO SL,ENTREGA Y/O RETIRADA DEPOSITOS SANITARIOS MENORCA / RESIDUO SANITARIO GRUPO III (DEPOSITO 10L),35758,43404.0,F/2018/7467
2,2,2.20180025237e+11,R,43427.0,22018000359.0,,2018 SP1 2311 2279901,66.0,66.0,2018.0,SP1,2311,2279901,B07047525,ADALMO SL,ENTREGA Y/O RETIRADA DEPOSITOS SANITARIOS MENORCA / RESIDUO SANITARIO GRUPO III (DEPOSITO 10L),34941,43373.0,F/2018/6775
2,2,2.20180027756e+11,R,43453.0,22018000359.0,,2018 SP1 2311 2279901,121.0,121.0,2018.0,SP1,2311,2279901,B07047525,ADALMO SL,ENTREGA Y/O RETIRADA DEPOSITOS SANITARIOS MENORCA / RESIDUO SANITARIO GRUPO III (DEPOSITO 10L),36484,43434.0,F/2018/7995
2,2,2.20181000719e+11,R,43124.0,22017000191.0,,2017 SP1 2311 2279901,93.5,93.5,2017.0,SP1,2311,2279901,B07047525,ADALMO SL,ENTREGA Y/O RETIRADA DEPOSITOS SANITARIOS MENORCA / RESIDUO SANITARIO GRUPO III (DEPOSITO 10L),27759,43069.0,F/2017/7999
2,2,2.2018100154e+11,R,43154.0,22017002734.0,,2017 SP1 2311 2279901,121.0,121.0,2017.0,SP1,2311,2279901,B07047525,ADALMO SL,ENTREGA Y/O RETIRADA DEPOSITOS SANITARIOS MENORCA / RESIDUO SANITARIO GRUPO III (DEPOSITO 10L),28496,43100.0,F/2018/422
2,2,2.20180007933e+11,R,43242.0,22018000363.0,,2018 SP1 2311 2219901,294.18,294.18,2018.0,SP1,2311,2219901,B64290810,AEGERUS SL,Manteniment mensual programa AEGERUS Residencia Geriatrica Assistida,508,43160.0,F/2018/2201
2,2,2.20180007934e+11,R,43242.0,22018000363.0,,2018 SP1 2311 2219901,294.18,294.18,2018.0,SP1,2311,2219901,B64290810,AEGERUS SL,Manteniment mensual programa AEGERUS Residencia Geriatrica Assistida,688,43191.0,F/2018/2202
2,2,2.20181001045e+11,R,43143.0,22017002711.0,,2017 SP1 2311 2269901,294.18,294.18,2017.0,SP1,2311,2269901,B64290810,AEGERUS SL,Manteniment mensual programa AEGERUS Residencia Geriatrica Assistida,2067,43070.0,F/2017/7586
2,2,2.20180012593e+11,R,43293.0,22018000359.0,,2018 SP1 2311 2279901,294.18,294.18,2018.0,SP1,2311,2279901,B64290810,AEGERUS SL,Manteniment mensual programa AEGERUS Residencia Geriatrica Assistida,852,43221.0,F/2018/3717
2,2,2.20180012594e+11,R,43293.0,22018000359.0,,2018 SP1 2311 2279901,294.18,294.18,2018.0,SP1,2311,2279901,B64290810,AEGERUS SL,Manteniment mensual programa AEGERUS Residencia Geriatrica Assistida,1010,43252.0,F/2018/3725
2,2,2.20180014766e+11,R,43325.0,22018000359.0,,2018 SP1 2311 2279901,294.18,294.18,2018.0,SP1,2311,2279901,B64290810,AEGERUS SL,Manteniment mensual programa AEGERUS Residencia Geriatrica Assistida,1161,43282.0,F/2018/4404
2,2,2.20180021055e+11,R,43384.0,22018000359.0,,2018 SP1 2311 2279901,294.18,294.18,2018.0,SP1,2311,2279901,B64290810,AEGERUS SL,Manteniment mensual programa AEGERUS Residencia Geriatrica Assistida,1496,43344.0,F/2018/5794
2,2,2.20180025222e+11,R,43427.0,22018000359.0,,2018 SP1 2311 2279901,294.18,294.18,2018.0,SP1,2311,2279901,B64290810,AEGERUS SL,Manteniment mensual programa AEGERUS Residencia Geriatrica Assistida,1661,43374.0,F/2018/6542
2,2,2.20180006067e+11,R,43214.0,22018000174.0,,2018 SP1 2310 2269901,1120.0,1120.0,2018.0,SP1,2310,2269901,F64442957,AEMA SCCL,TALLER ACOMPANYAMENT FAMILIES,12/2018,43171.0,F/2018/1965
3,2,2.20180010667e+11,R,43271.0,22018000274.0,,2018 SP3 3400 2269901,77.11,77.11,2018.0,SP3,3400,2269901,Q0700546E,AGENCIA TRIBUTARIA ILLES BALEARS,LIQUIDACIO CANON SANETJAMENT AIGÜES EXERCICI 2017,014210078005,43222.0,F/2018/3232
3,2,2.20180010667e+11,R,43271.0,22018001489.0,,2018 SP3 3400 2269901,585.0,585.0,2018.0,SP3,3400,2269901,Q0700546E,AGENCIA TRIBUTARIA ILLES BALEARS,LIQUIDACIO CANON SANETJAMENT AIGÜES EXERCICI 2017,014210078005,43222.0,F/2018/3232
1,2,2.20180003815e+11,R,43185.0,22018000182.0,,2018 CM1 1532 2100001,103.82,103.82,2018.0,CM1,1532,2100001,A07095011,AGLOMERADOS MENORCA SA,TM. AGLOMERAT EN PLANTA ( BACHEO  ),009,43131.0,F/2018/1199
1,2,2.20180009809e+11,R,43263.0,22018000182.0,,2018 CM1 1532 2100001,103.82,103.82,2018.0,CM1,1532,2100001,A07095011,AGLOMERADOS MENORCA SA,TM. AGLOMERAT EN PLANTA ( BACHEO  ),64,43220.0,F/2018/3330
1,2,2.20180017664e+11,R,43367.0,22018000182.0,,2018 CM1 1532 2100001,103.82,103.82,2018.0,CM1,1532,2100001,A07095011,AGLOMERADOS MENORCA SA,TM. AGLOMERAT EN PLANTA ( BACHEO  ) CALA PARTIO,151,43312.0,F/2018/5418
1,6,2.20180023642e+11,R,43416.0,22018000226.0,,2018 CM1 1711 6190112,9292.8,9292.8,2018.0,CM1,1711,6190112,A07095011,AGLOMERADOS MENORCA SA,"M2. Suministro, transporte y colocación de aglomerado asfáltico tipo S-12, con un espesor medio de 3,5 cm, incluso riego",166,43391.0,F/2018/7241
1,6,2.20180027711e+11,R,43453.0,22018000196.0,,2018 CM1 1711 6190214,11797.5,11797.5,2018.0,CM1,1711,6190214,A07095011,AGLOMERADOS MENORCA SA,"(300 ml. aprox.) Bacheo de socavones existentes en al traza del camino, con aglomerado asfáltico en caliente tipo S-12,",175,43418.0,F/2018/7767
3,2,2.20180022484e+11,R,43397.0,22018003970.0,,2018 SP3 3344 2269901,59.0,59.0,2018.0,SP3,3344,2269901,46328763R,AHEDO BALLESTEROS MILA,PARTICIPACIO NIT D'ART 2018,1/2018,43301.0,F/2018/6801
1,4,2.20180010416e+11,R,43266.0,22018002123.0,,2018 SG5 1300 4620111,547.76,547.76,2018.0,SG5,1300,4620111,P0705200D,AJUNTAMENT DE SANT LLUIS,"PAGAMENT  HORES REALITZADES DURANT LES FESTE DE LLUCMAÇANES DEL 2017, SEGONS CONVENI SIGNAT ENTRE ALS AJUNTAMENTS",,,
1,2,2.20180003821e+11,R,43185.0,22018000192.0,,2018 CM1 1711 2269901,11361.9,11361.9,2018.0,CM1,1711,2269901,B66373168,ALAN ILUMINACION SL,LLOGUER LLUMS NADAL,15123,43145.0,F/2018/1232
1,2,2.20180027686e+11,R,43453.0,22018004832.0,,2018 CM1 1711 2269901,6304.1,6304.1,2018.0,CM1,1711,2269901,B66373168,ALAN ILUMINACION SL,Lloguer Llums Nadal. Ornamentació de Nadal 2018-2019. Extra Zona Comerciants. Zona 2 No Comercial. Partida: 2018 CM13 17,15181,43444.0,F/2018/8607
1,2,2.2018100134e+11,R,43143.0,22017002723.0,,2017 CM1 1711 2270601,10067.2,10067.2,2017.0,CM1,1711,2270601,B66373168,ALAN ILUMINACION SL,LLUMS DE NADAL 2016-2017 DEL CARRER - Plaça Colon / LLUMS DE NADAL 2016-2017 DEL CARRER - C/ ANGEL / LLUMS DE NADAL 2016,15084,42825.0,F/2017/8089
3,2,2.20180022204e+11,R,43397.0,22018000167.0,,2018 SP3 3344 2269901,2758.36,2758.36,2018.0,SP3,3344,2269901,B07424773,ALARCON CUADROS SL,"TRANSPORTE, MAQUINARIA, PERSONAL, SUMINISTRO Y DISTRIBUCION DE ARENA PARA  / ESPECTACULO DE CAVALLOS. / OBRA NIT D'ART 2",5662,43305.0,F/2018/5455
3,2,2.20180022201e+11,R,43397.0,22018000215.0,,2018 SP3 3380 2269901,7078.5,7078.5,2018.0,SP3,3380,2269901,B07424773,ALARCON CUADROS SL,"TRANSPORT, SUBMINISRAMENT, DISTRIBUCIO I RETIRADA  D'ARENA PER FESTES DE GRACIA",5699,43360.0,F/2018/6292
1,2,2.20180023626e+11,R,43416.0,22018000182.0,,2018 CM1 1532 2100001,617.18,617.18,2018.0,CM1,1532,2100001,E57951667,ALBAÑILERIA Y PINTURA SITO CB,Desagüe pluviales en C/ Vives Llull,72,43323.0,F/2018/7034
1,2,2.20180023627e+11,R,43416.0,22018000182.0,,2018 CM1 1532 2100001,748.94,748.94,2018.0,CM1,1532,2100001,E57951667,ALBAÑILERIA Y PINTURA SITO CB,"Obra: zona comunitaria de Cala Canutells. Reparar mesas y bancos, bajada vehículos con revuelto.",73,43334.0,F/2018/7035
1,6,2.20180020929e+11,R,43384.0,22018000194.0,,2018 CM1 1711 6190211,1747.05,1747.05,2018.0,CM1,1711,6190211,E57951667,ALBAÑILERIA Y PINTURA SITO CB,Reparación acera calle Vives Llull Maó,69,43340.0,F/2018/5590
1,6,2.2018002093e+11,R,43384.0,22018000194.0,,2018 CM1 1711 6190211,2838.54,2838.54,2018.0,CM1,1711,6190211,E57951667,ALBAÑILERIA Y PINTURA SITO CB,Reparación acceso vehículos Cruz Roja,70,43340.0,F/2018/5591
1,6,2.20180016189e+11,R,43339.0,22018000196.0,,2018 CM1 1711 6190214,1161.6,1161.6,2018.0,CM1,1711,6190214,E57951667,ALBAÑILERIA Y PINTURA SITO CB,OBRA: PAVIMENTO CAMI ADAIA / POR TRABAJO OPERARIOS Y TRANSPORTE,67,43289.0,F/2018/4697
2,4,2.20180008135e+11,R,43242.0,22017000823.0,,2018 SP1 2310 4800114,500.0,0.0,2018.0,SP1,2310,4800114,G07709736,ALCER MENORCA,PAGAMENT SUBVENCIÓ NOMINATIVA 2017. ALCER MENORCA,,,
2,4,2.20180008967e+11,R/,43245.0,22017000823.0,,2018 SP1 2310 4800114,-500.0,0.0,2018.0,SP1,2310,4800114,G07709736,ALCER MENORCA,PAGAMENT SUBVENCIÓ NOMINATIVA 2017. ALCER MENORCA DEVOLUCIO TRANSFERENCIA,,,
2,4,2.20180009666e+11,R,43263.0,22017000823.0,,2018 SP1 2310 4800114,500.0,500.0,2018.0,SP1,2310,4800114,G07709736,ALCER MENORCA,PAGAMENT SUBVENCIÓ NOMINATIVA 2017. ALCER MENORCA,,,
4,2,2.20180004985e+11,R,43202.0,22018001133.0,,2018 SG8 4310 2269901,250.0,250.0,2018.0,SG8,4310,2269901,47651012A,ALFEREZ HARO ALFONS,CURS GESTIO COMERÇ GESTIO INTERNA DEL NEGOCI,AJMAO2018/1,43141.0,F/2018/1131
1,6,2.20180024986e+11,R,43427.0,22018002609.0,,2018 CM2 1511 6220417,31419.04,31419.04,2018.0,CM2,1511,6220417,41495326Z,ALLES CARRERAS SEBASTIAN,OBRES ACABATS LOCAL PRIMER PIS ESTACIO AUTOBUSOS DE MAO,205,43378.0,F/2018/7206
3,2,2.20180017708e+11,R,43367.0,22018000272.0,,2018 SP3 3400 2240001,1088.58,1088.58,2018.0,SP3,3400,2240001,A28007748,ALLIANZ COMPAÑIA DE SEGUROS Y REASEGUROS SA,43835514 ( PÓLIZA: 43835514 RECIBO: 330548143 RAMO ACCIDENTES COLECTIVO -133  ) ESCOLES ESTIU,365,43293.0,F/2018/4695
1,2,2.20180027401e+11,R,43452.0,22018004271.0,,2018 SG5 1300 2269901,199.05,199.05,2018.0,SG5,1300,2269901,B91384347,ALMACEN ONLINE OPCION SEGURA ESPAÑA SL,Llaves Seguridad,6,43409.0,F/2018/7720
1,2,2.2018100136e+11,R,43143.0,22017000258.0,,2017 CM6 1721 2279901,20449.0,20449.0,2017.0,CM6,1721,2279901,B65260051,ALOTARK ARQUITECTOS & CONSULTORES SLP,PLA DIRECTOR DE MOBILITAT ELÈCTRICA DE MAÓ,08617,43067.0,F/2017/7584
3,2,2.20180025167e+11,R,43427.0,22018004119.0,,2018 SP3 3344 2269901,2420.0,2420.0,2018.0,SP3,3344,2269901,30621113V,ALTUBE REDONDO JOSE MARIA  (TRANSPORTES TXEMA),50% SERVEIS TRASLLAT ESCULTURES DE BILBAO A MAO,035/2018,43381.0,F/2018/7264
3,2,2.201800217e+11,R,43392.0,22018000215.0,,2018 SP3 3380 2269901,2420.0,2420.0,2018.0,SP3,3380,2269901,30621113V,ALTUBE REDONDO JOSE MARIA  (TRANSPORTES TXEMA),TRASLLAT ESCULTURES LUCARINI DE BILBAO A MAO,031/2018,43369.0,F/2018/6493
3,2,2.20181001342e+11,R,43143.0,22017002305.0,,2017 SP1 3230 2269901,162.0,162.0,2017.0,SP1,3230,2269901,40983911G,ALVAREZ GUASCH MARIA LUISA,TALLER SAPS QUE ES LA REPRODUCCIO ASSISTIDA,2017-1,43096.0,F/2017/8352
1,2,2.20180002857e+11,R,43171.0,22018000584.0,,2018 CM1 1700 2269901,30.25,30.25,2018.0,CM1,1700,2269901,B57351819,ALYSERVI BALEARS MENORCA SL,26-01-18. SANITARIO AUTOLIMPIEABLE ESTACIÓN AUTOBUSES MAHÓN / Ud. Servicio de limpieza de sanitario portatil,18000044,43137.0,F/2018/834
1,2,2.20180001822e+11,R,43154.0,22018000327.0,,2018 CM6 1721 2269901,24.2,24.2,2018.0,CM6,1721,2269901,B57351819,ALYSERVI BALEARS MENORCA SL,"17-11-17 BUIDAT I NETEJA SANITARI PORTATIL PARC RUBIO I TUDURÍ, MAÓ / Ud. Servicio de limpieza de sanitario portatil",18000001,43103.0,F/2018/71
1,2,2.20180007109e+11,R,43231.0,22018000327.0,,2018 CM6 1721 2269901,24.2,24.2,2018.0,CM6,1721,2269901,B57351819,ALYSERVI BALEARS MENORCA SL,"05-02-17 BUIDAT I NETEJA SANITARI PORTATIL PARC RUBIO I TUDURÍ, MAÓ / Ud. Servicio de limpieza de sanitario portatil",18000094,43174.0,F/2018/1921
1,2,2.20180008232e+11,R,43242.0,22018000327.0,,2018 CM6 1721 2269901,24.2,24.2,2018.0,CM6,1721,2269901,B57351819,ALYSERVI BALEARS MENORCA SL,"09-03-18 BUIDAT I NETEJA SANITARI PORTATIL PARC RUBIO I TUDURÍ, MAÓ / Ud. Servicio de limpieza de sanitario portatil",18000148,43206.0,F/2018/2640
1,2,2.20180013193e+11,R,43304.0,22018000327.0,,2018 CM6 1721 2269901,24.2,24.2,2018.0,CM6,1721,2269901,B57351819,ALYSERVI BALEARS MENORCA SL,"07-05-18 BUIDAT I NETEJA SANITARI PORTATIL PARC RUBIO I TUDURÍ, MAÓ / Ud. Servicio de limpieza de sanitario portatil",18000259,43259.0,F/2018/3958
1,2,2.20180013195e+11,R,43304.0,22018000327.0,,2018 CM6 1721 2269901,261.36,261.36,2018.0,CM6,1721,2269901,B57351819,ALYSERVI BALEARS MENORCA SL,DEL 08 AL 09 DE JUNIO. FERIA MEDIO AMBIENTE MAÓ / Alquiler sanitario químico Mod. Polyjohn,18000261,43262.0,F/2018/3978
1,2,2.20180017035e+11,R,43355.0,22018000327.0,,2018 CM6 1721 2269901,24.2,24.2,2018.0,CM6,1721,2269901,B57351819,ALYSERVI BALEARS MENORCA SL,"11-06-18 BUIDAT I NETEJA SANITARI PORTATIL PARC RUBIO I TUDURÍ, MAÓ / Ud. Servicio de limpieza de sanitario portatil",18000323,43299.0,F/2018/4799
1,2,2.20180025124e+11,R,43427.0,22018000327.0,,2018 CM6 1721 2269901,24.2,24.2,2018.0,CM6,1721,2269901,B57351819,ALYSERVI BALEARS MENORCA SL,17-09-18. PARC RUBIÓ I TUDURÍ DE MAÓ / Ud. Servicio de limpieza de sanitario portatil,18000513,43404.0,F/2018/7410
1,2,2.20180026643e+11,R,43446.0,22018000327.0,,2018 CM6 1721 2269901,24.2,24.2,2018.0,CM6,1721,2269901,B57351819,ALYSERVI BALEARS MENORCA SL,13-07-18. PARC RUBIÓ I TUDURÍ MAÓ / Ud. Servicio de limpieza de sanitario portatil,18000442,43350.0,F/2018/6125
