#,Org.,Pro.,Eco.,Descripció,Crèdits inicials,Modificacions de crèdit,Crèdits totals consignats,Obligacions reconegudes,Pagaments fets,de crèdits disponibles,de crèdits disp. a nivell de vinculació,de crèdits retinguts pendents d'ús,de despeses autoritzades,de despeses compromeses,d'obligacions reconegudes,Disponible de Remanentes por aplicación
,SG4,9324.0,1300001.0,BASIQUES LAB.- GESTIÓ TRIBUTÀRIA I RECAPTACIÓ,73609.0,,73609.0,73609.0,73609.0,,,,,,,
,SG5,1300.0,1300001.0,BASIQUES LAB.- POLICIA ........,9902.0,,9902.0,9902.0,9902.0,,,,,,,
,SP1,2304.0,1300001.0,BASIQUES LAB.- ASSISTÈNCIA PRIMÀRIA,164387.0,,164387.0,164387.0,164387.0,,,,,,,
,SP1,2305.0,1300001.0,BASIQUES LAB.- MEDIACIÓ SOCIAL,69737.0,,69737.0,69737.0,69737.0,,,,,,,
,SP1,2410.0,1300001.0,BASIQUES LAB.- FORMACIÓ,30040.0,,30040.0,30040.0,30040.0,,,,,,,
,SP1,3120.0,1300001.0,BASIQUES LAB.- R.G.A. .........,716685.0,,716685.0,717551.34,717551.34,-866.34,,,,,,
,SP1,3130.0,1300001.0,BASIQUES LAB.-SANITAT ........,15154.0,,15154.0,15154.0,15154.0,,,,,,,
,SP1,3131.0,1300001.0,BASIQUES LAB.-LLACER,10113.0,,10113.0,10113.0,10113.0,,,,,,,
,SP1,3370.0,1300001.0,P. LAB.- RETR. BÀSIQUES - JOVENTUT,39103.0,,39103.0,39103.0,39103.0,,,,,,,
,SP2,3210.0,1300001.0,BASIQUES LAB.- EDUCACIO ......,92294.0,,92294.0,92294.0,92294.0,,,,,,,
,SP2,3233.0,1300001.0,BASIQUES LAB.- ESCOLES MUNICIPALS,16664.0,,16664.0,16664.0,16664.0,,,,,,,
,SP2,3320.0,1300001.0,BASIQUES LAB.- CLAUSTRE CARME,10061.0,,10061.0,10061.0,10061.0,,,,,,,
,SP2,3323.0,1300001.0,BASIQUES LAB.- ARXIU I PATR..,,,,,,,,,,,,
,SP2,3346.0,1300001.0,BASIQUES LAB.-NORMALITZ.  LING.,21535.0,,21535.0,21535.0,21535.0,,,,,,,
,SP2,3390.0,1300001.0,BASIQUES LAB.- CULTURA ........,86492.0,,86492.0,86492.0,86492.0,,,,,,,
,SP3,3400.0,1300001.0,BASIQUES LAB.- ESPORTS .......,218767.0,,218767.0,218767.0,218767.0,,,,,,,
,SG2,9205.0,1300101.0,HORES EXTRAORDINÀRIES.- RECURSOS HUMANS,8000.0,,8000.0,10440.33,10440.33,-2440.33,,,,,,
,CM1,1550.0,1300201.0,COMPLEM. LAB.- VIES PUBLIQUES..,53694.0,,53694.0,53694.0,53694.0,,,,,,,
,CM1,1650.0,1300201.0,COMPLEM. LAB.- ENLLUMENAT .....,29416.0,,29416.0,29416.0,29416.0,,,,,,,
,CM1,1690.0,1300201.0,COMPLEM. LAB.- CIUTAT I MEDI AMBIENT,105487.0,,105487.0,105487.0,105487.0,,,,,,,
,CM1,1710.0,1300201.0,COMPLEM. LAB.- PARCS I JARD.,47550.0,,47550.0,47550.0,47550.0,,,,,,,
,CM1,1720.0,1300201.0,COMPLEM. LAB.- MEDI AMBIENT,31344.0,,31344.0,31344.0,31344.0,,,,,,,
,CM2,1511.0,1300201.0,COMPLEM. LAB.- URBANISME .....,59926.0,,59926.0,59926.0,59926.0,,,,,,,
,CM3,1512.0,1300201.0,COMPLEM. LAB.- PROJECTES .....,84277.0,,84277.0,84277.0,84277.0,,,,,,,
,SG1,9120.0,1300201.0,COMPLEM. LAB.-ALCALDIA,17243.0,,17243.0,17243.0,17243.0,,,,,,,
,SG1,9270.0,1300201.0,COMPLEM. LAB.- COMUNICACIO ..,6475.0,,6475.0,6475.0,6475.0,,,,,,,
,SG2,9200.0,1300201.0,COMPLEM. LAB.- OAC,65442.0,,65442.0,65442.0,65442.0,,,,,,,
,SG2,9205.0,1300201.0,COMPLEM. LAB.- REC. HUMANS...,52150.0,,52150.0,52150.0,52150.0,,,,,,,
,SG2,9206.0,1300201.0,COMPLEM. LAB.- INFORMATICA....,23351.0,,23351.0,23351.0,23351.0,,,,,,,
,SG3,4930.0,1300201.0,COMPLEM. LAB.- DEFENS. CONSUM.,6522.0,,6522.0,6522.0,6522.0,,,,,,,
,SG3,9202.0,1300201.0,COMPLEM. LAB.-SERVEIS JURÍDICS ....,73801.0,,73801.0,73801.0,73801.0,,,,,,,
,SG4,9311.0,1300201.0,COMPLEM. LAB.- INTERVENCIO...,30490.0,,30490.0,30490.0,30490.0,,,,,,,
,SG4,9324.0,1300201.0,COMPLEM. LAB.- GESTIÓ TRIBUTÀRIA I RECAPTACIÓ,43574.0,,43574.0,45574.0,45574.0,-2000.0,,,,,,
,SG5,1300.0,1300201.0,COMPLEM. LAB.- POLICIA .......,6136.0,,6136.0,6136.0,6136.0,,,,,,,
,SP1,2304.0,1300201.0,COMPLEM. LAB.- ATENCIÓ PRIMÀRIA,101722.0,,101722.0,102165.95,102165.95,-443.95,,,,,,
,SP1,2305.0,1300201.0,COMPLEM. LAB.- MEDIACIÓ SOCIAL,43623.0,,43623.0,43623.0,43623.0,,,,,,,
,SP1,2410.0,1300201.0,COMPLEM. LAB.- FORMACIÒ.,18126.0,,18126.0,18126.0,18126.0,,,,,,,
,SP1,3120.0,1300201.0,COMPLEM. LAB.- R.G.A. ........,637111.0,,637111.0,637111.0,637111.0,,,,,,,
,SP1,3130.0,1300201.0,COMPLEM. LAB.-SANITAT .......,10982.0,,10982.0,10982.0,10982.0,,,,,,,
,SP1,3131.0,1300201.0,COMPLEM. LAB.-LLACER,6160.0,,6160.0,6160.0,6160.0,,,,,,,
,SP1,3370.0,1300201.0,P. LAB.- RETR. COMPLEMENTÀRIES - JOVENTUT,22430.0,,22430.0,22430.0,22430.0,,,,,,,
,SP2,3210.0,1300201.0,COMPLEM. LAB.- EDUCACIO......,63467.0,,63467.0,63467.0,63467.0,,,,,,,
,SP2,3233.0,1300201.0,COMPLEM. LAB.- ESCOLES MPALS.,23892.0,,23892.0,23892.0,23892.0,,,,,,,
,SP2,3320.0,1300201.0,COMPLEM. LAB.- CLAUSTRE CARME,8628.0,,8628.0,8628.0,8628.0,,,,,,,
,SP2,3323.0,1300201.0,COMPLEM. LAB.- ARXIU I PATR.,,,,,,,,,,,,
,SP2,3346.0,1300201.0,COMPLEM. LAB.-NORMALITZ. LING.,13096.0,,13096.0,13096.0,13096.0,,,,,,,
,SP2,3390.0,1300201.0,COMPLEM. LAB.- CULTURA .......,55845.0,,55845.0,70203.96,70203.96,-14358.96,,,,,,
,SP3,3400.0,1300201.0,COMPLEM. LAB.- ESPORTS ......,159813.0,,159813.0,160816.2,160816.2,-1003.2,,,,,,
,SG2,9205.0,1300202.0,INDEMNITZACIONS.- RECURSOS HUMANS,,,,10716.23,10716.23,-10716.23,,,,,,
,SG2,9205.0,1310001.0,PERS. EVENTUAL.- REC. HUMANS.,32000.0,126608.47,158608.47,363188.26,363188.26,-204579.79,,,,,,
,SP1,2304.0,1310001.0,LABORAL EVENTUAL.- ATENCIÓ PRIMÀRIA,100000.0,,100000.0,46068.5,46068.5,53931.5,,,,,,
,SP1,2305.0,1310001.0,LABORAL TEMPORAL.- MEDIACIÓ SOCIAL,,2862.51,2862.51,35965.07,35965.07,-33102.56,,,,,,
,SP1,2410.0,1310001.0,LABORAL EVENTUAL,,14452.2,14452.2,12208.22,12208.22,2243.98,,,,,,
,SP1,3120.0,1310001.0,PERS. EVENTUAL - R.G.A. ........,300000.0,,300000.0,215082.4,215082.4,84917.6,,,,,,
,SP2,3233.0,1310001.0,LABORAL EVENTUAL.- ESCOLES MUNICIPALS,100000.0,,100000.0,102616.68,102616.68,-2616.68,,,,,,
,SG2,9205.0,1310002.0,PERSONAL EVENTUAL.- INDEMNITZACIONS,,,,,,,,,,,,
,SG2,9205.0,1500001.0,PRODUCTIVITAT.- REC. HUMANS..,260072.0,,260072.0,115420.76,115420.76,144651.24,,,,,,
,CM1,1550.0,1600001.0,SEG. SOCIAL.- VIES PUBLIQUES...,56255.0,,56255.0,56255.0,56255.0,,,,,,,
,CM1,1610.0,1600001.0,SEG. SOCIAL.- AIGUA I SANEJAMENT,13397.0,,13397.0,13397.0,13397.0,,,,,,,
,CM1,1650.0,1600001.0,SEG. SOCIAL.- ENLLUMENAT ......,40216.0,,40216.0,40216.0,40216.0,,,,,,,
,CM1,1690.0,1600001.0,SEG. SOCIAL.- CIUTAT I MEDI AMBIENT,86580.0,,86580.0,86580.0,86580.0,,,,,,,
,CM1,1710.0,1600001.0,SEG. SOCIAL.- PARCS I JARDIN,47036.0,,47036.0,47036.0,47036.0,,,,,,,
,CM1,1720.0,1600001.0,SEG. SOCIAL.- MEDI AMBIENT,21976.0,,21976.0,21976.0,21976.0,,,,,,,
,CM2,1511.0,1600001.0,SEG. SOCIAL.- URBANISME ......,78999.0,,78999.0,78999.0,78999.0,,,,,,,
,CM3,1512.0,1600001.0,SEG. SOCIAL.- PROJECTES ......,63810.0,,63810.0,63810.0,63810.0,,,,,,,
,SG1,9120.0,1600001.0,SEG. SOCIAL.- ORG. GOVERN...,18503.0,,18503.0,18503.0,18503.0,,,,,,,
,SG1,9270.0,1600001.0,SEG. SOCIAL.- COMUNICACIO ...,16820.0,,16820.0,16820.0,16820.0,,,,,,,
,SG2,9200.0,1600001.0,SEG. SOCIAL.- OAC,57353.0,,57353.0,57353.0,57353.0,,,,,,,
,SG2,9205.0,1600001.0,SEG. SOCIAL.- REC. HUMANS ...,95775.0,314754.93,410529.93,402441.69,402441.69,8088.24,,,,,,
,SG2,9206.0,1600001.0,SEG. SOCIAL.- INFORMATICA ....,15205.0,,15205.0,15205.0,15205.0,,,,,,,
,SG3,4930.0,1600001.0,SEG. SOCIAL.- DEFENSA CONSUMID,5852.0,,5852.0,5852.0,5852.0,,,,,,,
,SG3,9202.0,1600001.0,SEG.SOCIAL.-SERVEIS JURÍDICS ......,71645.0,,71645.0,71645.0,71645.0,,,,,,,
,SG3,9203.0,1600001.0,SEG. SOCIAL.- CONTRACTACIÓ ...,6810.0,,6810.0,6810.0,6810.0,,,,,,,
,SG4,4310.0,1600001.0,QUOTES SOCIALS- DINAMITZACIÓ COMERCIAL,12410.0,,12410.0,12410.0,12410.0,,,,,,,
,SG4,9311.0,1600001.0,SEG. SOCIAL.- INTERVENCIO....,34284.0,,34284.0,34361.33,34361.33,-77.33,,,,,,
,SG4,9324.0,1600001.0,SEG. SOCIAL.- GESTIÓ TRIBUTÀRIA I RECAPTACIO,70444.0,,70444.0,71044.0,71044.0,-600.0,,,,,,
,SG5,1300.0,1600001.0,SEG. SOCIAL.- POLICIA ........,543640.0,,543640.0,543640.0,543640.0,,,,,,,
,SP1,2304.0,1600001.0,SEG. SOCIAL.- ATENCIÓ PRIMÀRIA,104419.0,,104419.0,122986.28,122986.28,-18567.28,,,,,,
,SP1,2305.0,1600001.0,SEG. SOCIAL.- MEDIACIÓ SOCIAL,46143.0,918.87,47061.87,51074.08,51074.08,-4012.21,,,,,,
,SP1,2410.0,1600001.0,SEG. SOCIAL.- FORMACIÓ,19850.0,497.2,20347.2,20396.68,20396.68,-49.48,,,,,,
,SP1,3120.0,1600001.0,SEG. SOCIAL.- R.G.A. .........,422922.0,,422922.0,489312.8,489312.8,-66390.8,,,,,,
,SP1,3130.0,1600001.0,SEG. SOCIAL.-SANITAT ........,8076.0,,8076.0,8076.0,8076.0,,,,,,,
,SP1,3131.0,1600001.0,SEG. SOCIAL.-LLACER,5956.0,,5956.0,5956.0,5956.0,,,,,,,
,SP1,3370.0,1600001.0,SEG. SOCIAL.- JOVENTUT,24422.0,,24422.0,24422.0,24422.0,,,,,,,
,SP2,3210.0,1600001.0,SEG. SOCIAL.- EDUCACIO ......,49464.0,,49464.0,49464.0,49464.0,,,,,,,
,SP2,3233.0,1600001.0,SEG. SOCIAL.- ESCOLES MUNICIPALS,45032.0,,45032.0,44343.17,44343.17,688.83,,,,,,
,SP2,3320.0,1600001.0,SEG. SOCIAL.- CLAUSTRE CARME,5775.0,,5775.0,5775.0,5775.0,,,,,,,
,SP2,3323.0,1600001.0,SEG. SOCIAL.- ARXIU I PATR..,23554.0,,23554.0,23554.0,23554.0,,,,,,,
,SP2,3346.0,1600001.0,SEG. SOCIAL.-NORMALITZ. LING..,10702.0,,10702.0,10702.0,10702.0,,,,,,,
,SP2,3390.0,1600001.0,SEG. SOCIAL.- CULTURA ........,43982.0,,43982.0,43982.0,43982.0,,,,,,,
,SP3,3400.0,1600001.0,SEG. SOCIAL.- ESPORTS .......,104974.0,,104974.0,105344.45,105344.45,-370.45,,,,,,
,SG1,9120.0,1600101.0,SEG.SOCIAL.-ORG.GOVERN D.EX.,55733.0,,55733.0,55733.0,55733.0,,,,,,,
,SG2,9205.0,1610401.0,INDEMNIZACIÓ PER JUBILACIONS ANTICIPADES,,,,,,,,,,,,
,SG2,9205.0,1620001.0,FUNCIONARIS.- FORMACIÓ,3000.0,,3000.0,320.0,320.0,2680.0,,,,,,
,SG2,9205.0,1620401.0,FUNCIONARIS.- ACCIO SOCIAL,30000.0,,30000.0,1218.66,1218.66,28781.34,,,,,,
,SG2,9205.0,1630001.0,PERSONAL LABORAL.- FORMACIO,7000.0,,7000.0,420.5,420.5,6579.5,,,,,,
,CM1,1550.0,1630201.0,PLUS TRANSPORT.- VIAS PUBLIC.,3510.0,,3510.0,3510.0,3510.0,,,,,,,
,CM1,1650.0,1630201.0,PLUS TRANSPORT.- ENLLUMENAT ..,1673.0,,1673.0,1673.0,1673.0,,,,,,,
,CM1,1690.0,1630201.0,PLUS TRANSPORT.- CIUTAT I MEDI AMBIENT,5055.0,,5055.0,5055.0,5055.0,,,,,,,
,CM1,1710.0,1630201.0,PLUS TRANSPORT.- PARQ.Y JARD.,3345.0,,3345.0,3345.0,3345.0,,,,,,,
,CM1,1720.0,1630201.0,PLUS TRANSPORT.- MEDI AMBIENT,1603.0,,1603.0,1603.0,1603.0,,,,,,,
,CM2,1511.0,1630201.0,PLUS TRANSPORT.- URBANISME...,3627.0,,3627.0,3627.0,3627.0,,,,,,,
,CM3,1512.0,1630201.0,PLUS TRANSPORT.- OF.PROJECTES,3676.0,,3676.0,3676.0,3676.0,,,,,,,
,SG1,9120.0,1630201.0,PLUS TRANSPORTE.- ALCALDIA,1011.0,,1011.0,1011.0,1011.0,,,,,,,
,SG1,9270.0,1630201.0,PLUS TRANSPORT.- COMUNICACIO,201.0,,201.0,201.0,201.0,,,,,,,
,SG2,9200.0,1630201.0,PLUS TRANSPORT.- OAC,4458.0,,4458.0,4458.0,4458.0,,,,,,,
,SG2,9205.0,1630201.0,PLUS TRANSPORT.- REC.HUMANS.,2996.0,,2996.0,2996.0,2996.0,,,,,,,
,SG2,9206.0,1630201.0,PLUS TRANSPORT.- INFORMATICA.,1011.0,,1011.0,1011.0,1011.0,,,,,,,
,SG3,4930.0,1630201.0,PLUS TRANSPORT.- CONSUM,506.0,,506.0,506.0,506.0,,,,,,,
,SG3,9202.0,1630201.0,PLUS TRANSPORT.-SERVEIS JURÍDICS..,3624.0,,3624.0,3623.0,3623.0,1.0,,,,,,
,SG4,9311.0,1630201.0,PLUS TRANSPORT.- GEST.PRESUP.,1429.0,,1429.0,1429.0,1429.0,,,,,,,
,SG4,9324.0,1630201.0,PLUS TRANSPORT.- GESTIÓ TRIBUTÀRIA I RECAPTACIÓ,2770.0,,2770.0,2770.0,2770.0,,,,,,,
,SG5,1300.0,1630201.0,PLUS TRANSPORT.- POLICIA.....,418.0,,418.0,418.0,418.0,,,,,,,
,SP1,2304.0,1630201.0,PLUS TRANSPORTE.- ASISTENCIA SOCIAL,6708.0,,6708.0,6708.0,6708.0,,,,,,,
,SP1,2305.0,1630201.0,PLUS TRANSPORTE.- MEDIACIÓ SOCIAL,2527.0,,2527.0,2527.0,2527.0,,,,,,,
,SP1,2410.0,1630201.0,PLUS TRANSPORT.- FORMACIÓ,1220.0,,1220.0,1220.0,1220.0,,,,,,,
,SP1,3120.0,1630201.0,PLUS TRANSPORT.- R.G.A. .....,29541.0,,29541.0,29541.0,29541.0,,,,,,,
,SP1,3130.0,1630201.0,PLUS TRANSPORT.-SANITAT.....,506.0,,506.0,506.0,506.0,,,,,,,
,SP1,3131.0,1630201.0,PLUS TRANSPORT.-LLACER,481.0,,481.0,481.0,481.0,,,,,,,
,SP1,3370.0,1630201.0,PLUS DE TRANSPORT - JOVENTUT,1724.0,,1724.0,1724.0,1724.0,,,,,,,
,SP2,3210.0,1630201.0,PLUS TRANSPORT.- EDUCACIO...,3848.0,,3848.0,3848.0,3848.0,,,,,,,
,SP2,3233.0,1630201.0,PLUS TRANSPORT.- ESCOLES MUNICIPALS,697.0,,697.0,697.0,697.0,,,,,,,
,SP2,3320.0,1630201.0,PLUS TRANSPORT.- CLAUSTRE CARME,418.0,,418.0,418.0,418.0,,,,,,,
,SP2,3323.0,1630201.0,PLUS TRANSPORT.- ARXIU I P.,,,,,,,,,,,,
,SP2,3346.0,1630201.0,PLUS TRANSP. LAB.-NORMALITZ.L.,802.0,,802.0,802.0,802.0,,,,,,,
,SP2,3390.0,1630201.0,PLUS TRANSPORT.- CULTURA.....,3483.0,,3483.0,3483.0,3483.0,,,,,,,
,SP3,3400.0,1630201.0,PLUS TRANSPORT.-.M.ESPORTS,8924.0,,8924.0,8924.0,8924.0,,,,,,,
,SG2,9205.0,1630401.0,PERSONAL LABORAL.- ACCIO SOC.,70000.0,,70000.0,44367.12,44367.12,25632.88,,,,,,
,SG2,9205.0,1630501.0,PERSONAL LABORAL.-ASSEGURANCES,4500.0,,4500.0,,,4500.0,,,,,,
,SG5,1300.0,2000001.0,LLOGUER TERRENYS.- POLICIA,167000.0,,167000.0,124094.57,113819.73,42905.43,41205.47,,,,,
,CM1,1695.0,2020001.0,LLOGUERS D'EDIFICIS- BRIGADA OBRES,17000.0,1303.97,18303.97,16359.52,16359.52,1944.45,242309.33,,,,,
,SG1,9120.0,2020001.0,LLOGUERS D'EDIFICIS POIMA,40000.0,-40000.0,,,,,291828.02,,,,,
,SG4,9311.0,2020001.0,LLOGUER EDIFICI SANT ROC .- GESTIÓ PRES.,27100.0,,27100.0,26972.64,26972.64,127.36,291828.02,,,,,
,SG5,1300.0,2020001.0,LLOGUERS D'EDIFICIS- POLICIA,25000.0,,25000.0,23160.03,23160.03,1839.97,41205.47,,,,,
,SP1,2304.0,2020001.0,LLOGUERS D'EDIFICIS.- ATENCIO PRIMARIA,20170.0,,20170.0,28997.64,23117.88,-8827.64,46677.32,,,,,
,SP2,3323.0,2020001.0,LLOGUER DEPENDÈNCIES - ARXIU,28000.0,,28000.0,27960.74,27960.74,39.26,108936.18,,,,,
,CM1,1650.0,2030001.0,"LLOGUERS MAQUINARIA, INSTAL. I ESTRIS",,5945.94,5945.94,5945.94,5945.94,,,,,,,
,SG3,9203.0,2030001.0,LLOGUER MAQUINARIA.- CONTRACTACIO,35000.0,974.0,35974.0,18854.24,17938.67,17119.76,291828.02,,,,,
,CM1,1695.0,2040001.0,LLOGUER VEHICLES.- BRIGADA OBRES,50000.0,3509.02,53509.02,57142.11,49773.97,-3633.09,242309.33,,,,,
,SG5,1300.0,2040001.0,LLOGUER VEHICLES.- POLICIA,,,,,,,41205.47,,,,,
,CM1,1550.0,2100001.0,REP.MANT.VIES PUBL.- VIES PUBLIQUES,50000.0,374.45,50374.45,181952.35,132729.74,-131577.9,242309.33,,,,,
,CM1,1710.0,2100001.0,REP.MANT.VIES PUBL.- PARCS I JARDINS,30000.0,990.92,30990.92,53596.08,43381.61,-22605.16,242309.33,,,,,
,SG5,1300.0,2100001.0,CONSERVACIÓ VIES PÚBLIQUES.- POLICIA,5000.0,,5000.0,10299.83,10299.83,-5299.83,41205.47,,,,,
