#,E,Org.,Fun.,Eco.,Descripció,Crèdits inicials,Modificacions de crèdit,Crèdits totals consignats,Obligacions reconegudes,Pagaments fets,SALDO de crèdits disponibles,SALDO de crèdits disp. a nivell de vinculació,SALDO de crèdits retinguts pendents d'ús,SALDO de despeses autoritzades,SALDO de despeses compromeses,SALDO d'obligacions reconegudes,Gasto Pendiente Aplicar a Presupuesto,Factures consumeixen disp. Pend. Comptabilitzar
,1,CM1,1710.0,1300001.0,BASIQUES LAB.- PARCS I JARD..,81645.0,,81645.0,81645.0,81645.0,,,,,,,,
,1,CM1,1721.0,1300001.0,BASIQUES LAB.- MEDI AMBIENT,40854.0,,40854.0,40854.0,40854.0,,,,,,,,
,1,CM2,1511.0,1300001.0,BASIQUES LAB.- URBANISME ......,99558.0,,99558.0,99558.0,99558.0,,,,,,,,
,1,CM3,1512.0,1300001.0,BASIQUES LAB.- PROJECTES ......,100416.0,,100416.0,99558.0,99558.0,858.0,,,,,,,
,1,SG1,9120.0,1300001.0,BASIQUES LAB.- ALCALDIA,25276.0,,25276.0,25276.0,25276.0,,33800.84,,,,,,
,1,SG1,9260.0,1300001.0,BASIQUES LAB.- COMUNICACIO ...,,,,,,,33800.84,,,,,,
,1,SG2,9205.0,1300001.0,BASIQUES LAB.- REC. HUMANS ...,82673.0,125000.0,207673.0,287983.75,271509.4,-80310.75,33800.84,,,,,,
,1,SG2,9206.0,1300001.0,BASIQUES LAB.- INFORMATICA ....,26684.0,,26684.0,26684.0,26684.0,,33800.84,,,,,,
,1,SG2,9250.0,1300001.0,BÀSIQUES LAB.- OAC,122311.0,,122311.0,122311.0,122311.0,,33800.84,,,,,,
,1,SG3,9202.0,1300001.0,BASIQUES LAB.-SERVEIS JURÍDICS......,98356.0,,98356.0,98356.0,98356.0,,33800.84,,,,,,
,1,SG4,9311.0,1300001.0,BASIQUES LAB.- INTERVENCIO ...,40325.0,,40325.0,40325.0,40325.0,,33800.84,,,,,,
,1,SG4,9340.0,1300001.0,BASIQUES LAB.- GESTIÓ TRIBUTÀRIA I RECAPTACIÓ,75914.0,,75914.0,75914.0,75914.0,,33800.84,,,,,,
,1,SG5,1300.0,1300001.0,BASIQUES LAB.- POLICIA ........,10079.0,,10079.0,10079.0,10079.0,,,,,,,,
,1,SP1,2310.0,1300001.0,BASIQUES LAB.- ASSISTÈNCIA PRIMÀRIA,231697.0,,231697.0,231697.0,231697.0,,17087.34,,,,,,
,1,SP1,2311.0,1300001.0,BASIQUES LAB.- MEDIACIÓ SOCIAL,84096.0,,84096.0,84096.0,84096.0,,17087.34,,,,,,
,1,SP1,2410.0,1300001.0,BASIQUES LAB.- FORMACIÓ,31151.0,,31151.0,31151.0,31151.0,,17087.34,,,,,,
,1,SP1,3110.0,1300001.0,BASIQUES LAB.-SANITAT ........,25910.0,,25910.0,25910.0,25910.0,,138943.68,,,,,,
,1,SP1,3120.0,1300001.0,BASIQUES LAB.- R.G.A. .........,729678.0,,729678.0,730267.98,730267.98,-589.98,138943.68,,,,,,
,1,SP1,3370.0,1300001.0,P. LAB.- RETR. BÀSIQUES - JOVENTUT,40568.0,,40568.0,40568.0,40568.0,,138943.68,,,,,,
,1,SP2,3210.0,1300001.0,BASIQUES LAB.- EDUCACIO ......,94276.0,,94276.0,94276.0,94276.0,,138943.68,,,,,,
,1,SP2,3260.0,1300001.0,BASIQUES LAB.- ESCOLES MUNICIPALS,16962.0,,16962.0,16962.0,16962.0,,138943.68,,,,,,
,1,SP2,3320.0,1300001.0,BASIQUES LAB.- CLAUSTRE CARME,10241.0,,10241.0,10241.0,10241.0,,138943.68,,,,,,
,1,SP2,3340.0,1300001.0,BASIQUES LAB.- CULTURA ........,88229.0,,88229.0,88229.0,88229.0,,138943.68,,,,,,
,1,SP2,3346.0,1300001.0,BASIQUES LAB.-NORMALITZ.  LING.,21921.0,,21921.0,21921.0,21921.0,,138943.68,,,,,,
,1,SP3,3400.0,1300001.0,BASIQUES LAB.- ESPORTS .......,234668.0,,234668.0,234668.0,234668.0,,138943.68,,,,,,
,1,SG2,9205.0,1300101.0,HORES EXTRAORDINÀRIES.- RECURSOS HUMANS,8000.0,50000.0,58000.0,86570.33,86570.33,-28570.33,33800.84,,,,,,
,1,CM1,1624.0,1300201.0,COMPLEM. LAB.- VIES PUBLIQUES..,53700.0,,53700.0,53700.0,53700.0,,,,,,,,
,1,CM1,1650.0,1300201.0,COMPLEM. LAB.- ENLLUMENAT .....,34032.0,,34032.0,34032.0,34032.0,,,,,,,,
,1,CM1,1651.0,1300201.0,COMPLEM. LAB.- CIUTAT I MEDI AMBIENT,102904.0,,102904.0,102904.0,102904.0,,,,,,,,
,1,CM1,1710.0,1300201.0,COMPLEM. LAB.- PARCS I JARD.,47550.0,,47550.0,47550.0,47550.0,,,,,,,,
,1,CM1,1721.0,1300201.0,COMPLEM. LAB.- MEDI AMBIENT,31344.0,,31344.0,31344.0,31344.0,,,,,,,,
,1,CM2,1511.0,1300201.0,COMPLEM. LAB.- URBANISME .....,59926.0,,59926.0,59926.0,59926.0,,,,,,,,
,1,CM3,1512.0,1300201.0,COMPLEM. LAB.- PROJECTES .....,86401.0,,86401.0,86401.0,86401.0,,,,,,,,
,1,SG1,9120.0,1300201.0,COMPLEM. LAB.-ALCALDIA,17243.0,,17243.0,17243.0,17243.0,,33800.84,,,,,,
,1,SG1,9260.0,1300201.0,COMPLEM. LAB.- COMUNICACIO ..,,,,,,,33800.84,,,,,,
,1,SG2,9205.0,1300201.0,COMPLEM. LAB.- REC. HUMANS...,52150.0,,52150.0,52150.0,52150.0,,33800.84,,,,,,
,1,SG2,9206.0,1300201.0,COMPLEM. LAB.- INFORMATICA....,23351.0,,23351.0,23351.0,23351.0,,33800.84,,,,,,
,1,SG2,9250.0,1300201.0,COMPLEM. LAB.- OAC,65854.0,,65854.0,65854.0,65854.0,,33800.84,,,,,,
,1,SG3,9202.0,1300201.0,COMPLEM. LAB.-SERVEIS JURÍDICS ....,75301.0,,75301.0,75301.0,75301.0,,33800.84,,,,,,
,1,SG4,9311.0,1300201.0,COMPLEM. LAB.- INTERVENCIO...,30490.0,,30490.0,30490.0,30490.0,,33800.84,,,,,,
,1,SG4,9340.0,1300201.0,COMPLEM. LAB.- GESTIÓ TRIBUTÀRIA I RECAPTACIÓ,43574.0,,43574.0,43574.0,43574.0,,33800.84,,,,,,
,1,SG5,1300.0,1300201.0,COMPLEM. LAB.- POLICIA .......,6136.0,,6136.0,6136.0,6136.0,,,,,,,,
,1,SP1,2310.0,1300201.0,COMPLEM. LAB.- ATENCIÓ PRIMÀRIA,139050.0,,139050.0,139050.0,139050.0,,17087.34,,,,,,
,1,SP1,2311.0,1300201.0,COMPLEM. LAB.- MEDIACIÓ SOCIAL,51661.0,,51661.0,51661.0,51661.0,,17087.34,,,,,,
,1,SP1,2410.0,1300201.0,COMPLEM. LAB.- FORMACIÒ.,18126.0,,18126.0,18126.0,18126.0,,17087.34,,,,,,
,1,SP1,3110.0,1300201.0,COMPLEM. LAB.-SANITAT .......,17142.0,,17142.0,17142.0,17142.0,,138943.68,,,,,,
,1,SP1,3120.0,1300201.0,COMPLEM. LAB.- R.G.A. ........,636417.0,,636417.0,635766.0,635766.0,651.0,138943.68,,,,,,
,1,SP1,3370.0,1300201.0,P. LAB.- RETR. COMPLEMENTÀRIES - JOVENTUT,22430.0,,22430.0,22430.0,22430.0,,138943.68,,,,,,
,1,SP2,3210.0,1300201.0,COMPLEM. LAB.- EDUCACIO......,63467.0,,63467.0,63467.0,63467.0,,138943.68,,,,,,
,1,SP2,3260.0,1300201.0,COMPLEM. LAB.- ESCOLES MPALS.,23892.0,,23892.0,23892.0,23892.0,,138943.68,,,,,,
,1,SP2,3320.0,1300201.0,COMPLEM. LAB.- CLAUSTRE CARME,8628.0,,8628.0,8628.0,8628.0,,138943.68,,,,,,
,1,SP2,3340.0,1300201.0,COMPLEM. LAB.- CULTURA .......,57345.0,,57345.0,57345.0,57345.0,,138943.68,,,,,,
,1,SP2,3346.0,1300201.0,COMPLEM. LAB.-NORMALITZ. LING.,13096.0,,13096.0,13096.0,13096.0,,138943.68,,,,,,
,1,SP3,3400.0,1300201.0,COMPLEM. LAB.- ESPORTS ......,168063.0,,168063.0,168063.0,168063.0,,138943.68,,,,,,
,1,SG2,9205.0,1310001.0,PERS. EVENTUAL.- REC. HUMANS.,49149.0,760240.69,809389.69,650370.37,650370.37,159019.32,33800.84,,,,,,
,1,SP1,2310.0,1310001.0,LABORAL EVENTUAL.- ATENCIÓ PRIMÀRIA,100000.0,,100000.0,54435.67,54435.67,45564.33,17087.34,,,,,,
,1,SP1,2410.0,1310001.0,LABORAL TEMPORAL - FOMENT DE L'OCUPACIÓ,,7444.8,7444.8,12656.92,12656.92,-5212.12,17087.34,,,,,,
,1,SP1,3120.0,1310001.0,PERS. EVENTUAL - R.G.A. ........,856628.0,,856628.0,338909.55,338909.55,517718.45,138943.68,,,,,,
,1,SP2,3260.0,1310001.0,LABORAL EVENTUAL.- ESCOLES MUNICIPALS,100000.0,,100000.0,202204.32,202204.32,-102204.32,138943.68,,,,,,
,1,SG2,9205.0,1500001.0,PRODUCTIVITAT.- REC. HUMANS..,315425.0,,315425.0,157111.49,157111.49,158313.51,33800.84,,,,,,
,1,CM1,1610.0,1600001.0,SEG. SOCIAL.- AIGUA I SANEJAMENT,8625.0,,8625.0,8625.0,8625.0,,,,,,,,
,1,CM1,1624.0,1600001.0,SEG. SOCIAL.- VIES PUBLIQUES...,62871.0,,62871.0,62871.0,62871.0,,,,,,,,
,1,CM1,1650.0,1600001.0,SEG. SOCIAL.- ENLLUMENAT ......,41456.0,,41456.0,41456.0,41456.0,,,,,,,,
,1,CM1,1651.0,1600001.0,SEG. SOCIAL.- CIUTAT I MEDI AMBIENT,81489.0,,81489.0,81489.0,81489.0,,,,,,,,
,1,CM1,1710.0,1600001.0,SEG. SOCIAL.- PARCS I JARDIN,46761.0,,46761.0,46761.0,46761.0,,,,,,,,
,1,CM1,1721.0,1600001.0,SEG. SOCIAL.- MEDI AMBIENT,22088.0,,22088.0,22088.0,22088.0,,,,,,,,
,1,CM2,1511.0,1600001.0,SEG. SOCIAL.- URBANISME ......,84727.0,,84727.0,84727.0,84727.0,,,,,,,,
,1,CM3,1512.0,1600001.0,SEG. SOCIAL.- PROJECTES ......,65312.0,,65312.0,65312.0,65312.0,,,,,,,,
,1,SG1,9120.0,1600001.0,SEG. SOCIAL.- ORG. GOVERN...,18288.0,,18288.0,18288.0,18288.0,,33800.84,,,,,,
,1,SG1,9260.0,1600001.0,SEG. SOCIAL.- COMUNICACIO ...,13804.0,,13804.0,13804.0,13804.0,,33800.84,,,,,,
,1,SG2,9205.0,1600001.0,SEG. SOCIAL.- REC. HUMANS ...,139988.0,288793.58,428781.58,423103.52,423103.52,5678.06,33800.84,,,,,,
,1,SG2,9206.0,1600001.0,SEG. SOCIAL.- INFORMATICA ....,15316.0,,15316.0,15316.0,15316.0,,33800.84,,,,,,
,1,SG2,9250.0,1600001.0,SEG. SOCIAL.- OAC,57480.0,,57480.0,57480.0,57480.0,,33800.84,,,,,,
,1,SG3,9202.0,1600001.0,SEG.SOCIAL.-SERVEIS JURÍDICS ......,75393.0,,75393.0,75393.0,75393.0,,33800.84,,,,,,
,1,SG3,9203.0,1600001.0,SEG. SOCIAL.- CONTRACTACIÓ ...,6932.0,,6932.0,6932.0,6932.0,,33800.84,,,,,,
,1,SG4,4310.0,1600001.0,QUOTES SOCIALS- DINAMITZACIÓ COMERCIAL,12410.0,,12410.0,12410.0,12410.0,,,,,,,,
,1,SG4,9311.0,1600001.0,SEG. SOCIAL.- INTERVENCIO....,34948.0,,34948.0,34948.0,34948.0,,33800.84,,,,,,
,1,SG4,9340.0,1600001.0,SEG. SOCIAL.- GESTIÓ TRIBUTÀRIA I RECAPTACIO,70626.0,,70626.0,70626.0,70626.0,,33800.84,,,,,,
,1,SG5,1300.0,1600001.0,SEG. SOCIAL.- POLICIA ........,532935.0,,532935.0,532935.0,532935.0,,,,,,,,
,1,SP1,2310.0,1600001.0,SEG. SOCIAL.- ATENCIÓ PRIMÀRIA,132254.0,,132254.0,155518.87,155518.87,-23264.87,17087.34,,,,,,
,1,SP1,2311.0,1600001.0,SEG. SOCIAL.- MEDIACIÓ SOCIAL,53186.0,,53186.0,53186.0,53186.0,,17087.34,,,,,,
,1,SP1,2410.0,1600001.0,SEG. SOCIAL.- FORMACIÓ,20116.0,,20116.0,20116.0,20116.0,,17087.34,,,,,,
,1,SP1,3110.0,1600001.0,SEG. SOCIAL.-SANITAT ........,14101.0,,14101.0,14101.0,14101.0,,138943.68,,,,,,
,1,SP1,3120.0,1600001.0,SEG. SOCIAL.- R.G.A. .........,425136.0,,425136.0,689242.51,689242.51,-264106.51,138943.68,,,,,,
,1,SP1,3370.0,1600001.0,SEG. SOCIAL.- JOVENTUT,24837.0,,24837.0,24837.0,24837.0,,138943.68,,,,,,
,1,SP2,3210.0,1600001.0,SEG. SOCIAL.- EDUCACIO ......,49672.0,,49672.0,49672.0,49672.0,,138943.68,,,,,,
,1,SP2,3260.0,1600001.0,SEG. SOCIAL.- ESCOLES MUNICIPALS,12532.0,,12532.0,25056.96,25056.96,-12524.96,138943.68,,,,,,
,1,SP2,3320.0,1600001.0,SEG. SOCIAL.- CLAUSTRE CARME,5775.0,,5775.0,5775.0,5775.0,,138943.68,,,,,,
,1,SP2,3322.0,1600001.0,SEG. SOCIAL.- ARXIU I PATR..,22624.0,,22624.0,22624.0,22624.0,,138943.68,,,,,,
,1,SP2,3340.0,1600001.0,SEG. SOCIAL.- CULTURA ........,44504.0,,44504.0,44504.0,44504.0,,138943.68,,,,,,
,1,SP2,3346.0,1600001.0,SEG. SOCIAL.-NORMALITZ. LING..,10702.0,,10702.0,10702.0,10702.0,,138943.68,,,,,,
,1,SP3,3400.0,1600001.0,SEG. SOCIAL.- ESPORTS .......,136317.0,,136317.0,136317.0,136317.0,,138943.68,,,,,,
,1,SG1,9120.0,1600101.0,SEG.SOCIAL.-ORG.GOVERN D.EX.,67365.0,,67365.0,67365.0,67365.0,,33800.84,,,,,,
,1,SG2,9205.0,1610401.0,INDEMNIZACIÓ PER JUBILACIONS ANTICIPADES,,4714.48,4714.48,22714.48,22714.48,-18000.0,33800.84,,,,,,
,1,SG2,9205.0,1620001.0,FUNCIONARIS.- FORMACIÓ,3500.0,,3500.0,1080.0,1080.0,2420.0,33800.84,,,,,,
,1,SG2,9205.0,1620401.0,FUNCIONARIS.- ACCIO SOCIAL,35000.0,15000.0,50000.0,6443.92,6443.92,43556.08,33800.84,,,,,,
,1,SG2,9205.0,1630001.0,PERSONAL LABORAL.- FORMACIO,6500.0,,6500.0,206013.29,206013.29,-199513.29,33800.84,,,,,,
,1,CM1,1624.0,1630201.0,PLUS TRANSPORT.- VIAS PUBLIC.,3450.0,,3450.0,3450.0,3450.0,,,,,,,,
,1,CM1,1650.0,1630201.0,PLUS TRANSPORT.- ENLLUMENAT ..,1673.0,,1673.0,1673.0,1673.0,,,,,,,,
,1,CM1,1651.0,1630201.0,PLUS TRANSPORT.- CIUTAT I MEDI AMBIENT,4636.0,,4636.0,4636.0,4636.0,,,,,,,,
,1,CM1,1710.0,1630201.0,PLUS TRANSPORT.- PARQ.Y JARD.,3345.0,,3345.0,3345.0,3345.0,,,,,,,,
,1,CM1,1721.0,1630201.0,PLUS TRANSPORT.- MEDI AMBIENT,1603.0,,1603.0,1603.0,1603.0,,,,,,,,
,1,CM2,1511.0,1630201.0,PLUS TRANSPORT.- URBANISME...,3628.0,,3628.0,3628.0,3628.0,,,,,,,,
,1,CM3,1512.0,1630201.0,PLUS TRANSPORT.- OF.PROJECTES,3676.0,,3676.0,3628.0,3628.0,48.0,,,,,,,
,1,SG1,9120.0,1630201.0,PLUS TRANSPORTE.- ALCALDIA,1011.0,,1011.0,1011.0,1011.0,,33800.84,,,,,,
,1,SG1,9260.0,1630201.0,PLUS TRANSPORT.- COMUNICACIO,,,,,,,33800.84,,,,,,
,1,SG2,9205.0,1630201.0,PLUS TRANSPORT.- REC.HUMANS.,2996.0,,2996.0,2996.0,2996.0,,33800.84,,,,,,
,1,SG2,9206.0,1630201.0,PLUS TRANSPORT.- INFORMATICA.,1011.0,,1011.0,1011.0,1011.0,,33800.84,,,,,,
,1,SG2,9250.0,1630201.0,PLUS TRANSPORT.- OAC,4459.0,,4459.0,4459.0,4459.0,,33800.84,,,,,,
,1,SG3,9202.0,1630201.0,PLUS TRANSPORT.-SERVEIS JURÍDICS..,3623.0,,3623.0,3623.0,3623.0,,33800.84,,,,,,
,1,SG4,9311.0,1630201.0,PLUS TRANSPORT.- GEST.PRESUP.,1429.0,,1429.0,1429.0,1429.0,,33800.84,,,,,,
,1,SG4,9340.0,1630201.0,PLUS TRANSPORT.- GESTIÓ TRIBUTÀRIA I RECAPTACIÓ,2770.0,,2770.0,2770.0,2770.0,,33800.84,,,,,,
,1,SG5,1300.0,1630201.0,PLUS TRANSPORT.- POLICIA.....,419.0,,419.0,419.0,419.0,,,,,,,,
,1,SP1,2310.0,1630201.0,PLUS TRANSPORTE.- ASISTENCIA SOCIAL,9427.0,,9427.0,9427.0,9427.0,,17087.34,,,,,,
,1,SP1,2311.0,1630201.0,PLUS TRANSPORTE.- MEDIACIÓ SOCIAL,3032.0,,3032.0,3032.0,3032.0,,17087.34,,,,,,
,1,SP1,2410.0,1630201.0,PLUS TRANSPORT.- FORMACIÓ,1220.0,,1220.0,1220.0,1220.0,,17087.34,,,,,,
,1,SP1,3110.0,1630201.0,PLUS TRANSPORT.-SANITAT.....,986.0,,986.0,986.0,986.0,,138943.68,,,,,,
,1,SP1,3120.0,1630201.0,PLUS TRANSPORT.- R.G.A. .....,29390.0,,29390.0,29390.0,29390.0,,138943.68,,,,,,
,1,SP1,3370.0,1630201.0,PLUS DE TRANSPORT - JOVENTUT,1724.0,,1724.0,1724.0,1724.0,,138943.68,,,,,,
,1,SP2,3210.0,1630201.0,PLUS TRANSPORT.- EDUCACIO...,3848.0,,3848.0,3848.0,3848.0,,138943.68,,,,,,
,1,SP2,3260.0,1630201.0,PLUS TRANSPORT.- ESCOLES MUNICIPALS,697.0,,697.0,697.0,697.0,,138943.68,,,,,,
,1,SP2,3320.0,1630201.0,PLUS TRANSPORT.- CLAUSTRE CARME,418.0,,418.0,418.0,418.0,,138943.68,,,,,,
,1,SP2,3340.0,1630201.0,PLUS TRANSPORT.- CULTURA.....,3483.0,,3483.0,3483.0,3483.0,,138943.68,,,,,,
,1,SP2,3346.0,1630201.0,PLUS TRANSP. LAB.-NORMALITZ.L.,802.0,,802.0,802.0,802.0,,138943.68,,,,,,
,1,SP3,3400.0,1630201.0,PLUS TRANSPORT.-.M.ESPORTS,9445.0,,9445.0,9445.0,9445.0,,138943.68,,,,,,
,1,SG2,9205.0,1630401.0,PERSONAL LABORAL.- ACCIO SOC.,65000.0,35000.0,100000.0,98488.41,98488.41,-4597.6,33800.84,6109.19,,,,,
,1,SG2,9205.0,1630501.0,PERSONAL LABORAL.-ASSEGURANCES,4500.0,,4500.0,,,4500.0,33800.84,,,,,,
,2,SG5,1300.0,2000001.0,LLOGUER TERRENYS.- POLICIA,167000.0,13387.43,180387.43,123231.0,112956.16,25637.36,8468.86,12840.83,,18678.24,10274.84,,
,2,CM1,1652.0,2020001.0,LLOGUERS D'EDIFICIS- BRIGADA OBRES,17000.0,,17000.0,16574.86,15165.33,425.14,8.66,,,,1337.12,,
,2,SG1,9120.0,2020001.0,LLOGUERS D'EDIFICIS POIMA,,,,,,,8312.56,,,,,,
,2,SG4,9311.0,2020001.0,LLOGUER EDIFICI SANT ROC .- GESTIÓ PRES.,27000.0,,27000.0,26972.64,26972.64,-2248.0,8312.56,2275.36,,,,,
,2,SG5,1300.0,2020001.0,LLOGUERS D'EDIFICIS- POLICIA,25000.0,1800.0,26800.0,23654.43,23654.43,-6000.99,8468.86,146.2,,9000.36,,,
,2,SP1,2310.0,2020001.0,LLOGUERS D'EDIFICIS.- ATENCIO PRIMARIA,20170.0,,20170.0,20942.38,20942.38,-775.81,49.42,3.43,,,,4138.95,
,2,SP2,3322.0,2020001.0,LLOGUER DEPENDÈNCIES - ARXIU,28000.0,,28000.0,27929.53,27458.98,-664.84,6.05,,,735.31,,,
,2,SG3,9203.0,2030001.0,LLOGUER MAQUINARIA.- CONTRACTACIO,40000.0,8000.0,48000.0,20574.85,19902.9,15841.67,8312.56,3583.48,,8000.0,,,
,2,CM1,1652.0,2040001.0,LLOGUER VEHICLES.- BRIGADA OBRES,65000.0,,65000.0,32890.1,32615.14,32109.9,8.66,,,,,4682.53,
,2,CM1,1624.0,2100001.0,REP.MANT.VIES PUBL.- VIES PUBLIQUES,105000.0,,105000.0,166520.84,164153.44,-61520.84,8.66,,,,,14012.71,157.64
,2,CM1,1710.0,2100001.0,REP.MANT.VIES PUBL.- PARCS I JARDINS,25000.0,3000.0,28000.0,34723.5,33030.22,-6723.5,8.66,,,,,35110.59,
