#any,E,Eco.,Descripció,Previsions inicials,Total Modificacions,Previsions totals,Compromisos concertats,Drets reconeguts totals,Drets anul·lats,Diferències previsions / drets nets,Drets reconeguts nets,Drets recaptats,Devolucions d'ingrés pagats
2015.0,3,32100.0,T Llicències,95000.0,,95000.0,176246.79,250.0,175996.79,164012.44,250.0,163762.44,12234.35
2015.0,3,32106.0,TAXA PER CASAMENTS,3500.0,,3500.0,5950.0,,5950.0,5800.0,,5800.0,150.0
2015.0,3,32505.0,T Expedició documents,15000.0,,15000.0,21067.19,,21067.19,21067.19,,21067.19,
2015.0,3,32601.0,T Grua,20000.0,,20000.0,25856.5,,25856.5,25750.0,,25750.0,106.5
2015.0,3,32900.0,T Serveis Especials,12000.0,,12000.0,20493.0,,20493.0,20148.0,,20148.0,345.0
2015.0,3,32904.0,T Cementiris,150000.0,101015.73,251015.73,273688.52,,273688.52,262197.47,,262197.47,11491.05
2015.0,3,32905.0,T Cementirs Retrib C,226025.0,,226025.0,,,,,,,
2015.0,3,33013.0,T Sistema Area,480000.0,24345.05,504345.05,500408.41,,500408.41,500408.41,,500408.41,
2015.0,3,33101.0,T OVP Guals,145000.0,,145000.0,146206.53,2429.73,143776.8,128373.84,8.82,128365.02,15411.78
2015.0,3,33114.0,T OVP reserva aparcaments,3500.0,,3500.0,12635.8,,12635.8,10631.25,,10631.25,2004.55
2015.0,3,33205.0,T Empres. Subministraments,270000.0,,270000.0,298508.96,,298508.96,235378.6,,235378.6,63130.36
2015.0,3,33206.0,Compensació de Telefónica SA,90000.0,,90000.0,89852.45,,89852.45,89852.45,,89852.45,
2015.0,3,33502.0,T OVP taules i cadires,110000.0,,110000.0,105201.53,563.33,104638.2,63843.62,,63843.62,40794.58
2015.0,3,33903.0,T OVP Feriants,12000.0,,12000.0,4998.79,,4998.79,4742.89,,4742.89,255.9
2015.0,3,33904.0,T OVP Ambulants,65000.0,,65000.0,94067.43,,94067.43,78832.73,,78832.73,15234.7
2015.0,3,33906.0,T OVP Obres i bastides,6000.0,,6000.0,7665.85,16.0,7649.85,3466.55,16.0,3450.55,4199.3
2015.0,3,34001.0,PREUS PUBLICS SERVEIS ESPECIALS,,,,1410.0,,1410.0,1360.0,,1360.0,50.0
2015.0,3,34207.0,PP. Escoles Infantils,580000.0,,580000.0,569169.14,,569169.14,569169.14,,569169.14,
2015.0,3,38900.0,REINTEGRAMENT D'OPERACIONS CORRENTS,,,,,,,,,,
2015.0,3,39100.0,Sancions Urbanistiques,45000.0,,45000.0,23400.54,,23400.54,20625.54,,20625.54,2775.0
2015.0,3,39110.0,Sancions Tributaries,9000.0,,9000.0,,,,,,,
2015.0,3,39120.0,Multes Trànsit,450000.0,,450000.0,338577.61,439.99,338137.62,338577.61,439.99,338137.62,
2015.0,3,39190.0,Altres sancions,15000.0,,15000.0,13489.63,,13489.63,4678.12,,4678.12,8811.51
2015.0,3,39211.0,Recàrrecs Apremi,200000.0,,200000.0,152405.68,250.58,152155.1,152405.68,250.58,152155.1,
2015.0,3,39300.0,Inter. demora,130000.0,,130000.0,71804.4,30020.17,41784.23,71804.4,30020.17,41784.23,
2015.0,3,39900.0,Recursos Eventuals,8000.0,,8000.0,46652.84,354.0,46298.84,46292.66,354.0,45938.66,360.18
2015.0,3,39904.0,COSTES DE PROCEDIMENT DE RECAPTACIÓ,,,,7935.59,47.16,7888.43,7935.59,47.16,7888.43,
2015.0,4,42000.0,Participació en Tributs Estat,6376000.0,,6376000.0,6156205.72,,6156205.72,6156205.72,,6156205.72,
2015.0,4,42390.0,AUTORITAT PORTUARIA - CONVENI NETEJA PORT,55000.0,,55000.0,55541.58,,55541.58,27770.79,,27770.79,27770.79
2015.0,4,45001.0,CAIB - Aport Fons Coop. Local,247000.0,,247000.0,247593.38,,247593.38,247593.38,,247593.38,
2015.0,4,45003.0,CAIB - Conveni estades,280000.0,,280000.0,349082.77,,349082.77,273838.12,,273838.12,75244.65
2015.0,4,45004.0,CAIB - PROGRAMA MEDIACIÓ CULTURAL,,,,66629.24,,66629.24,66629.24,,66629.24,
2015.0,4,45005.0,CAIB - INGRESSOS D'EXERCICIS ANTERIORS,,,,13129.34,,13129.34,13129.34,,13129.34,
2015.0,4,45031.0,CAIB - AJUT AL SOSTENIMENT D'ESCOLES INFANTILS 0-3 ANYS,,,,9907.0,9907.0,,9907.0,9907.0,,
2015.0,4,45083.0,CAIB - APORTACIONS FONS SEGURETAT PÚBLICA,,,,74493.75,,74493.75,47154.4,,47154.4,27339.35
2015.0,4,45511.0,CAIB - INTERVENCIÓ SOCIAL EN FAMILIES EN SITUACIÓ DE NECESSI,,,,51088.44,,51088.44,51088.44,,51088.44,
2015.0,4,46100.0,CIM - places concertades,575000.0,,575000.0,597545.19,,597545.19,,,,597545.19
2015.0,4,46103.0,CIM - Pla concertat PS,275000.0,,275000.0,288758.74,,288758.74,288758.74,,288758.74,
2015.0,4,46104.0,CIMe.- Sou Bombers,65000.0,,65000.0,76786.77,,76786.77,0.01,,0.01,76786.76
2015.0,4,46105.0,CIMe- CONSUM GAS,12000.0,,12000.0,14886.49,,14886.49,13716.88,,13716.88,1169.61
2015.0,4,46106.0,CIMe.- CONVENI AJUTS INDIVIDUALS TEMPORALS I D'EMERGÈNCIA,,,,65981.76,,65981.76,65981.76,,65981.76,
2015.0,4,46109.0,CIMe - AJUT  ESCOLA MUNICIPAL MÚSICA,,,,2732.53,,2732.53,2732.53,,2732.53,
2015.0,4,46111.0,"CIMe - MENORCA, MÚSICA I TEATRE",,,,1280.0,,1280.0,1280.0,,1280.0,
2015.0,4,46132.0,CIMe- AJUTS PER ESCOLES INFANTILS 0-3 ANYS,,,,61588.0,61588.0,,61588.0,61588.0,,
2015.0,4,46137.0,CIME- CONVENI DE DINAMITZACIÓ FIRA AGROALIMENTÀRIA DE MAÓ 20,,,,8000.0,,8000.0,8000.0,,8000.0,
2015.0,4,46138.0,CIMe - APORTACIÓ CENTRE D'ART HDEZ SANZ,,60000.0,60000.0,,,,,,,
2015.0,4,47001.0,HIDROBAL  - Costos personal,38000.0,,38000.0,40831.54,,40831.54,,,,40831.54
2015.0,4,47002.0,HIDROBAL - Costos financers,,,,,,,,,,
2015.0,4,47003.0,FCC - DONATIU PARC DES FREGINAL,,3000.0,3000.0,3000.0,,3000.0,3000.0,,3000.0,
2015.0,4,47005.0,DONACIONS,2000.0,,2000.0,3560.0,,3560.0,3560.0,,3560.0,
2015.0,4,47010.0,DONATIUS CA N'OLIVER- CENTRE D'ART I D'HISTÒRIA HDEZ SANZ,,19000.0,19000.0,19000.0,,19000.0,19000.0,,19000.0,
2015.0,4,47035.0,FEMP- PROJECTE ADHESIÓ ESTRATÈGIA DE PROMOCIÓ DE LA SALUT,,1980.0,1980.0,1980.0,,1980.0,1980.0,,1980.0,
2015.0,4,47101.0,Anuncis contractacio,1500.0,,1500.0,3071.92,,3071.92,3071.92,,3071.92,
2015.0,5,52000.0,Interessos Dipòsits,10000.0,,10000.0,863.48,,863.48,863.48,,863.48,
2015.0,5,54100.0,Lloguer  vivendes mpals.,4300.0,,4300.0,5810.49,,5810.49,5432.93,,5432.93,377.56
2015.0,5,55000.0,Conces. Administ. ús privatiu,85000.0,,85000.0,366247.09,,366247.09,285325.08,,285325.08,80922.01
2015.0,5,55001.0,Conc. Adm. Cementiri,30000.0,,30000.0,26925.48,,26925.48,25462.7,,25462.7,1462.78
2015.0,5,55003.0,Conce. Sistema Àrea,34000.0,,34000.0,33651.51,,33651.51,33651.51,,33651.51,
2015.0,5,55004.0,FUNERARIA GOMILA - Canon concessió serv. funeraris,,,,27638.02,,27638.02,27638.02,,27638.02,
2015.0,7,75000.0,CAIB Casa de les Aigües,6605.0,,6605.0,6604.98,,6604.98,6604.98,,6604.98,
2015.0,7,75005.0,CAIB - APORTACIONS D'EXERCICIS ANTERIORS,,,,155457.5,,155457.5,155457.5,,155457.5,
2015.0,7,76109.0,CIMe - PLA INSULAR COOPERACIÓ,,,,215281.17,,215281.17,215281.17,,215281.17,
2015.0,7,76133.0,CIMe - LEADER - SEPARADOR SOLIDS ESCORXADOR,,,,26010.6,,26010.6,26010.6,,26010.6,
2015.0,7,77003.0,FUNERARIA GOMILA - AMORTIT. TÈCNIQUES,8100.0,,8100.0,8131.43,,8131.43,8131.43,,8131.43,
2015.0,8,83000.0,Bestretes Personal,60000.0,,60000.0,40579.11,,40579.11,14063.5,,14063.5,26515.61
2015.0,8,87000.0,Romanent de tresoreria per a despeses generals.,,3452047.94,3452047.94,,,,,,,
2015.0,8,87010.0,RT per a despeses amb finançament afectat.,,232125.59,232125.59,,,,,,,
2015.0,9,91301.0,PRESTEC INVERSIONS,2500000.0,,2500000.0,,,,,,,
