#ANY,cap,Eco.,Descripció,Previsions inicials,Total Modificacions,Previsions totals,Drets reconeguts totals,Drets anul·lats,Drets reconeguts nets,Drets recaptats,Devolucions d'ingrés pagats,Recaptació líquida,Drets pendents de cobrament,pend. Cobrament afectat
2016.0,3,32505.0,T Expedició documents,17000.0,,17000.0,21108.13,,21108.13,21080.96,,21080.96,27.17,
2016.0,3,32601.0,T Grua,20000.0,,20000.0,28896.0,25.56,28870.44,28866.5,25.56,28840.94,29.5,
2016.0,3,32900.0,T Serveis Especials,10000.0,,10000.0,21292.0,,21292.0,20906.0,,20906.0,386.0,
2016.0,3,32904.0,T Cementiris,220000.0,,220000.0,263398.31,,263398.31,254249.18,,254249.18,9149.13,
2016.0,3,32905.0,T Cementirs Retrib C,226025.0,,226025.0,,,,,,,,
2016.0,3,33013.0,T Sistema Area,450000.0,,450000.0,76687.93,,76687.93,76687.93,,76687.93,,
2016.0,3,33101.0,T OVP Guals,145000.0,,145000.0,145548.48,2566.07,142982.41,131244.21,76.2,131168.01,11814.4,
2016.0,3,33114.0,T OVP reserva aparcaments,9000.0,,9000.0,15733.25,,15733.25,12527.9,,12527.9,3205.35,
2016.0,3,33205.0,T Empres. Subministraments,290000.0,,290000.0,287741.93,,287741.93,287741.93,,287741.93,,
2016.0,3,33206.0,Compensació de Telefónica SA,90000.0,,90000.0,109162.44,,109162.44,109162.44,,109162.44,,
2016.0,3,33502.0,T OVP taules i cadires,110000.0,,110000.0,116552.49,1053.48,115499.01,77161.8,398.57,76763.23,38735.78,
2016.0,3,33903.0,T OVP Feriants,1000.0,,1000.0,3938.09,,3938.09,3938.09,,3938.09,,
2016.0,3,33904.0,T OVP Ambulants,85000.0,,85000.0,107313.37,320.16,106993.21,86878.2,,86878.2,20115.01,
2016.0,3,33906.0,T OVP Obres i bastides,7000.0,,7000.0,7025.68,9.2,7016.48,4276.88,,4276.88,2739.6,
2016.0,3,34001.0,PREUS PUBLICS SERVEIS ESPECIALS,,,,,,,,,,,
2016.0,3,34207.0,PP. Escoles Infantils,580000.0,,580000.0,134619.9,,134619.9,132080.45,,132080.45,2539.45,
2016.0,3,34401.0,PP ENTRADES CENTRE D'ART I D'HISTÒRIA HERNANDEZ SANZ,,,,6044.85,,6044.85,6044.85,,6044.85,,
2016.0,3,38900.0,REINTEGRAMENT OPERACIONS CORRENTS,,,,207.75,,207.75,,,,207.75,
2016.0,3,39100.0,Sancions Urbanistiques,20000.0,,20000.0,9937.5,675.0,9262.5,6962.5,,6962.5,2300.0,
2016.0,3,39110.0,Sancions Tributaries,,,,,,,,,,,
2016.0,3,39120.0,Multes Trànsit,280000.0,,280000.0,676243.85,220.0,676023.85,676243.85,220.0,676023.85,,
2016.0,3,39190.0,Altres sancions,6000.0,,6000.0,22940.05,100.0,22840.05,8084.05,,8084.05,14756.0,
2016.0,3,39211.0,Recàrrecs Apremi,150000.0,,150000.0,288199.0,656.06,287542.94,288199.0,656.06,287542.94,,
2016.0,3,39300.0,Inter. demora,90000.0,,90000.0,135217.76,1989.27,133228.49,134970.88,1989.27,132981.61,246.88,
2016.0,3,39900.0,Recursos Eventuals,25000.0,,25000.0,17048.6,,17048.6,17048.6,,17048.6,,
2016.0,3,39904.0,COSTES DE PROCEDIMENT DE RECAPTACIÓ,,,,21008.24,32.12,20976.12,21008.24,32.12,20976.12,,
2016.0,3,39940.0,INGRÉS PER EXECUCIONS SUBSIDIÀRIES,,,,2879.59,,2879.59,910.0,,910.0,1969.59,
2016.0,4,42000.0,Participació en Tributs Estat,6204000.0,,6204000.0,5984694.27,,5984694.27,5984694.27,,5984694.27,,
2016.0,4,42390.0,AUTORITAT PORTUARIA - CONVENI NETEJA PORT,55000.0,,55000.0,55541.58,,55541.58,,,,55541.58,
2016.0,4,45001.0,CAIB - Aport Fons Coop. Local,247000.0,,247000.0,243316.38,,243316.38,243316.38,,243316.38,,
2016.0,4,45002.0,CAIB - FINANCIACIÓ COMPETÈNCIES SERVEIS SOCIALS,4227000.0,,4227000.0,,,,,,,,
2016.0,4,45003.0,CAIB - Conveni estades,,,,281444.43,,281444.43,23916.1,,23916.1,257528.33,
2016.0,4,45004.0,CAIB - PROGRAMA MEDIACIÓ CULTURAL,,,,90712.0,,90712.0,90712.0,,90712.0,,
2016.0,4,45005.0,CAIB - INGRESSOS EXERCICIS ANTERIORS,,,,13107.75,,13107.75,13107.75,,13107.75,,
2016.0,4,45050.0,CAIB - PROJECTES AEVUM-AMFORA-HORT DES FRARES,,544135.53,544135.53,578297.96,,578297.96,416193.6,,416193.6,162104.36,162104.36
2016.0,4,45051.0,SOIB-PROJECTE MIXT D'OCUPACIÓ I FORMACIÓ EN SOCORRISME I DIN,,213076.61,213076.61,213076.61,,213076.61,127845.97,,127845.97,85230.64,85230.64
2016.0,4,45052.0,"CAIB - PROJECTE   MILLORA OCUPABILITAT """"SOCARRELL""""",,209729.14,209729.14,209729.14,,209729.14,,,,209729.14,209729.14
2016.0,4,45053.0,"CAIB - PROJECTE   MILLORA OCUPABILITAT """"M@Ó""""",,43200.0,43200.0,43200.0,,43200.0,,,,43200.0,43200.0
2016.0,4,45083.0,CAIB - APORTACIONS FONS SEGURETAT PÚBLICA,,,,52328.7,,52328.7,52328.7,,52328.7,,
2016.0,4,46100.0,CIM - places concertades,,,,571387.79,,571387.79,208688.4,,208688.4,362699.39,
2016.0,4,46102.0,CIMe.- CONVENI LLACER,,,,,,,,,,,
2016.0,4,46103.0,CIM - Conveni Serveis Socials Comunitaris Bàsics,,,,883474.14,,883474.14,379023.24,,379023.24,504450.9,
2016.0,4,46104.0,CIMe.- Sou Bombers,65000.0,,65000.0,76776.77,,76776.77,,,,76776.77,
2016.0,4,46105.0,CIMe- CONSUM GAS,13800.0,,13800.0,15089.68,,15089.68,10365.92,,10365.92,4723.76,
2016.0,4,46106.0,CIMe.- CONVENI AJUTS INDIVIDUALS TEMPORALS I D'EMERGÈNCIA,,,,149812.2,,149812.2,149812.2,,149812.2,,
2016.0,4,46109.0,CIMe - AJUT ESCOLA MUNICIPAL MÚSICA,,,,4256.0,,4256.0,4256.0,,4256.0,,
2016.0,4,46111.0,"CIMe - MENORCA, MÚSICA I TEATRE",,,,515.8,,515.8,515.8,,515.8,,
2016.0,4,46118.0,CIME ACTIVITAT FISICA GENT GRAN,,,,5965.69,,5965.69,5965.69,,5965.69,,
2016.0,4,46132.0,CIMe- AJUTS PER ESCOLES INFANTILS 0-3 ANYS,,,,52866.67,,52866.67,52866.67,,52866.67,,
2016.0,4,46133.0,CIME-PUNT D'INFORMACIÓ JUVENIL,,,,2643.2,,2643.2,2643.2,,2643.2,,
2016.0,4,46136.0,CIMe .-  APORT. RESTAURACIÓ DE BÉNS PATRIMONIALS,,,,2500.0,,2500.0,2500.0,,2500.0,,
2016.0,4,46137.0,CIMe - CONVENI DINAMITZACIÓ COMERCIAL,,,,8885.19,,8885.19,8885.19,,8885.19,,
2016.0,4,46138.0,CIMe - APORTACIÓ CENTRE ART HDEZ SANZ,60000.0,,60000.0,60000.0,,60000.0,60000.0,,60000.0,,
2016.0,4,47001.0,HIDROBAL  - Costos personal,31900.0,,31900.0,10246.69,,10246.69,,,,10246.69,
2016.0,4,47005.0,DONACIONS,2000.0,,2000.0,3880.0,,3880.0,3880.0,,3880.0,,
2016.0,4,47101.0,Anuncis contractacio,2000.0,,2000.0,4544.4,,4544.4,4544.4,,4544.4,,
2016.0,5,52000.0,Interessos Dipòsits,1000.0,,1000.0,613.9,,613.9,613.9,,613.9,,
2016.0,5,54100.0,Lloguer  vivendes mpals.,5000.0,,5000.0,7339.68,,7339.68,7233.03,,7233.03,106.65,
2016.0,5,55000.0,Conces. Administ. ús privatiu,165000.0,,165000.0,256044.87,,256044.87,194433.14,,194433.14,61611.73,
2016.0,5,55001.0,Conc. Adm. Cementiri,25000.0,,25000.0,33319.33,,33319.33,32683.93,,32683.93,635.4,
2016.0,5,55003.0,Conce. Sistema Àrea,33000.0,,33000.0,83329.61,,83329.61,33651.51,,33651.51,49678.1,
2016.0,5,55004.0,FUNERARIA GOMILA - Canon concessió serv. funeraris,20000.0,,20000.0,22542.03,,22542.03,22542.03,,22542.03,,
2016.0,7,72004.0,Mº FOMENTO - REHABILITACIÓ PONT SANT ROC,,242296.89,242296.89,,,,,,,,
2016.0,7,75000.0,CAIB Casa de les Aigües,6605.0,,6605.0,6604.98,,6604.98,6604.98,,6604.98,,
2016.0,7,75010.0,CAIB - SUBV  PUNT RECÀRREGA VEHICLES ELÈCTRICS,,,,8542.19,,8542.19,8542.19,,8542.19,,
2016.0,7,75030.0,CAIB - ESCOLA ADULTS QUARTER SANTIAGO,275865.0,,275865.0,275880.0,,275880.0,,,,275880.0,275880.0
2016.0,7,76102.0,CIME- iNVERSIÓ EN ÀREES TURÍSTIQUES,,,,305169.63,,305169.63,305169.63,,305169.63,,
2016.0,7,76109.0,CIMe - PLA INSULAR COOPERACIÓ,,,,710259.66,,710259.66,358069.43,,358069.43,352190.23,352190.23
2016.0,7,76121.0,CIMe - OBRES EN INSTAL.LACIONS ESPORTIVES,,,,7623.0,,7623.0,7623.0,,7623.0,,
2016.0,7,77003.0,FUNERARIA GOMILA - AMORTIT. TÈCNIQUES,8100.0,,8100.0,,,,,,,,
2016.0,8,82090.0,REINTEGRAMENT BESTRETES A CURT TERMINI A ENT SP,,1620045.0,1620045.0,1620045.0,,1620045.0,,,,1620045.0,
2016.0,8,83000.0,Bestretes Personal,60000.0,,60000.0,37152.57,,37152.57,9228.45,,9228.45,27924.12,
2016.0,8,87000.0,ROMANENT DE TRESORERIA per a despeses generals,,5027368.53,5027368.53,,,,,,,,
2016.0,8,87010.0,ROMANENT DE TRESORERIA per a desp. amb finançament afectat,,232126.0,232126.0,,,,,,,,
2016.0,9,91301.0,PRESTEC INVERSIONS,2500000.0,,2500000.0,,,,,,,,
