#2007,E,Eco.,Descripció,Previsions inicials,Total Modificacions,Previsions totals,Compromisos concertats,Compromisos realitzats,Drets reconeguts totals,% de realització del pressupost,Drets anul·lats,Drets Cancel·lats,Diferències previsions / drets nets,Drets reconeguts nets,Drets recaptats,Devolucions d'ingrés pagats,Prescrip. Sdo Inic. D'oblig. Dev/Ing.,Saldo Inicial de pagaments ordenats per Dev./Ing.,Recaptació líquida,Drets pendents de cobrament,DUBTOS COBRAMENT,0.2,pend. Cobrament afectat afectat
2017.0,3.0,31107.0,T Residencia Geriàtrica,852000.0,0.0,852000.0,0.0,0.0,842534.82,98.798877,768.36,0.0,10233.54,841766.46,830008.58,768.36,0.0,0.0,829240.22,12526.24,2505.248,0.2,
2017.0,3.0,31111.0,T Assistència domiciliaria,84000.0,0.0,84000.0,0.0,0.0,80400.28,95.002846,597.87,0.0,4197.59,79802.41,78914.33,157.82,0.0,0.0,78756.51,1045.9,209.18,0.2,
2017.0,3.0,31206.0,T Serveis Culturals i Oci,66000.0,0.0,66000.0,0.0,0.0,91169.6,138.040564,62.8,0.0,-25106.8,91106.8,90195.35,62.8,0.0,0.0,90132.55,974.25,194.85,0.2,
2017.0,3.0,31309.0,T Instalacions esportives,370000.0,0.0,370000.0,0.0,0.0,396732.92,107.018088,765.97,0.0,-25966.95,395966.95,383076.06,575.47,0.0,76.0,382500.59,13466.36,2693.272,0.2,
2017.0,3.0,32100.0,T Llicències,140000.0,0.0,140000.0,0.0,0.0,171231.64,122.156153,213.0,0.0,-31018.64,171018.64,161919.06,181.0,0.0,0.0,161738.06,9280.58,1856.116,0.2,
2017.0,3.0,32106.0,TAXA PER CASAMENTS,3800.0,0.0,3800.0,0.0,0.0,6150.0,161.841253,0.0,0.0,-2350.0,6150.0,6025.0,0.0,0.0,0.0,6025.0,125.0,25.0,0.2,
2017.0,3.0,32505.0,T Expedició documents,14000.0,0.0,14000.0,0.0,0.0,20168.95,144.063722,0.0,0.0,-6168.95,20168.95,19987.33,0.0,0.0,0.0,19987.33,181.62,36.324,0.2,
2017.0,3.0,32601.0,T Grua,22000.0,0.0,22000.0,0.0,0.0,39124.5,177.838474,0.0,0.0,-17124.5,39124.5,38578.5,0.0,0.0,0.0,38578.5,546.0,109.2,0.2,
2017.0,3.0,32900.0,T Serveis Especials,13000.0,0.0,13000.0,0.0,0.0,22055.0,169.653585,0.0,0.0,-9055.0,22055.0,21631.0,0.0,0.0,0.0,21631.0,424.0,84.8,0.2,
2017.0,3.0,32904.0,T Cementiris,240000.0,0.0,240000.0,0.0,0.0,248373.27,103.488853,0.0,0.0,-8373.27,248373.27,239995.32,0.0,0.0,0.0,239995.32,8377.95,1675.59,0.2,
2017.0,3.0,32905.0,T Cementirs Retrib C,226025.0,0.0,226025.0,0.0,0.0,0.0,0.0,0.0,0.0,226025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,
2017.0,3.0,33013.0,T Sistema Area,450000.0,0.0,450000.0,0.0,0.0,0.0,0.0,0.0,0.0,450000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,
2017.0,3.0,33101.0,T OVP Guals,145000.0,0.0,145000.0,0.0,0.0,146606.04,99.326048,2583.25,0.0,977.21,144022.79,132413.95,4.82,0.0,0.0,132409.13,11613.66,2322.732,0.2,
2017.0,3.0,33114.0,T OVP reserva aparcaments,10000.0,0.0,10000.0,0.0,0.0,8931.9,89.318821,0.0,0.0,1068.1,8931.9,7903.27,0.0,0.0,0.0,7903.27,1028.63,205.726,0.2,
2017.0,3.0,33205.0,T Empres. Subministraments,300000.0,0.0,300000.0,0.0,0.0,278892.96,92.964313,0.0,0.0,21107.04,278892.96,278872.43,0.0,0.0,0.0,278872.43,20.53,4.106,0.2,
2017.0,3.0,33206.0,Compensació de Telefónica SA,90000.0,0.0,90000.0,0.0,0.0,129565.35,143.961468,0.0,0.0,-39565.35,129565.35,129565.35,0.0,0.0,0.0,129565.35,0.0,0.0,0.2,
2017.0,3.0,33502.0,T OVP taules i cadires,110000.0,0.0,110000.0,0.0,0.0,124705.1,109.590825,4155.17,0.0,-10549.93,120549.93,92438.11,37.35,0.0,0.0,92400.76,28149.17,5629.834,0.2,
2017.0,3.0,33903.0,T OVP Feriants,5000.0,0.0,5000.0,0.0,0.0,5680.12,113.601945,0.0,0.0,-680.12,5680.12,5475.96,0.0,0.0,0.0,5475.96,204.16,40.832,0.2,
2017.0,3.0,33904.0,T OVP Ambulants,90000.0,0.0,90000.0,0.0,0.0,103432.98,114.795096,117.37,0.0,-13315.61,103315.61,80822.46,24.89,0.0,0.0,80797.57,22518.04,4503.608,0.2,
2017.0,3.0,33906.0,T OVP Obres i bastides,8000.0,0.0,8000.0,0.0,0.0,5410.41,67.629955,0.0,0.0,2589.59,5410.41,4258.61,0.0,0.0,0.0,4258.61,1151.8,230.36,0.2,
2017.0,3.0,34207.0,PP. Escoles Infantils,607000.0,0.0,607000.0,0.0,0.0,526022.82,86.522003,834.24,0.0,81811.42,525188.58,514348.13,834.24,0.0,0.0,513513.89,11674.69,2334.938,0.2,
2017.0,3.0,34401.0,PP ENTRADES CENTRE D'ART I D'HISTÒRIA HERNANDEZ SANZ,0.0,0.0,0.0,0.0,0.0,10650.5,0.0,0.0,0.0,-10650.5,10650.5,10530.5,0.0,0.0,0.0,10530.5,120.0,24.0,0.2,
2017.0,3.0,38900.0,REINTEGRAMENT DE PAGAMENTS D'EXERCICIS TANCATS,0.0,0.0,0.0,0.0,0.0,8772.93,0.0,0.0,0.0,-8772.93,8772.93,8772.93,0.0,0.0,0.0,8772.93,0.0,0.0,0.2,
2017.0,3.0,38901.0,ALTRES REINTEGRAMENTS D'OPERACIONS CORRENTS,0.0,0.0,0.0,0.0,0.0,14373.21,0.0,0.0,0.0,-14373.21,14373.21,14373.21,0.0,0.0,0.0,14373.21,0.0,0.0,0.2,
2017.0,3.0,39100.0,Sancions Urbanistiques,9000.0,0.0,9000.0,0.0,0.0,37745.84,419.39729,0.0,0.0,-28745.84,37745.84,1400.0,0.0,0.0,0.0,1400.0,36345.84,7269.168,0.2,
2017.0,3.0,39120.0,Multes Trànsit,320000.0,0.0,320000.0,0.0,0.0,944569.23,190.412572,335248.96,0.0,-289320.27,609320.27,944569.23,335248.96,0.0,0.0,609320.27,0.0,0.0,0.2,
2017.0,3.0,39121.0,Multes per gestió de càmeres de vigilància,0.0,330951.26,330951.26,0.0,0.0,440875.71,133.214686,0.0,0.0,-109924.45,440875.71,440875.71,0.0,0.0,0.0,440875.71,0.0,0.0,0.2,
2017.0,3.0,39190.0,Altres sancions,18000.0,0.0,18000.0,0.0,0.0,51693.84,285.521016,300.0,0.0,-33393.84,51393.84,48207.67,0.0,0.0,0.0,48207.67,3186.17,637.234,0.2,
2017.0,3.0,39211.0,Recàrrecs Apremi,160000.0,0.0,160000.0,0.0,0.0,357755.2,222.032797,2502.68,0.0,-195252.52,355252.52,357755.2,2502.68,0.0,0.0,355252.52,0.0,0.0,0.2,
2017.0,3.0,39300.0,Inter. demora,85000.0,0.0,85000.0,0.0,0.0,144669.54,167.946466,1915.01,0.0,-57754.53,142754.53,144669.54,1915.01,0.0,0.94,142754.53,0.0,0.0,0.2,
2017.0,3.0,39900.0,Recursos Eventuals,15000.0,0.0,15000.0,0.0,0.0,63496.72,423.310902,0.0,0.0,-48496.72,63496.72,63405.92,0.0,0.0,0.0,63405.92,90.8,18.16,0.2,
2017.0,3.0,39904.0,COSTES DE PROCEDIMENT DE RECAPTACIÓ,0.0,0.0,0.0,0.0,0.0,33380.59,0.0,72.78,0.0,-33307.81,33307.81,33380.59,72.78,0.0,0.0,33307.81,0.0,0.0,0.2,
2017.0,4.0,42000.0,Participació en Tributs Estat,6115000.0,0.0,6115000.0,0.0,0.0,6141036.34,100.425777,0.0,0.0,-26036.34,6141036.34,6141036.34,0.0,0.0,0.0,6141036.34,0.0,0.0,0.2,
2017.0,4.0,42390.0,AUTORITAT PORTUARIA - CONVENI NETEJA PORT,55000.0,0.0,55000.0,0.0,0.0,56430.3,102.600508,0.0,0.0,-1430.3,56430.3,28215.15,0.0,0.0,0.0,28215.15,28215.15,5643.03,0.2,
2017.0,4.0,45001.0,CAIB - Aport Fons Coop. Local,243300.0,0.0,243300.0,0.0,0.0,243192.55,99.955828,0.0,0.0,107.45,243192.55,243192.55,0.0,0.0,0.0,243192.55,0.0,0.0,0.2,
2017.0,4.0,45003.0,CAIB - Conveni estades,288000.0,0.0,288000.0,0.0,0.0,295116.67,102.471058,0.0,0.0,-7116.67,295116.67,25039.62,0.0,0.0,0.0,25039.62,270077.05,54015.41,0.2,
2017.0,4.0,45005.0,CAIB - INGRESSOS D'EXERCICIS ANTERIORS,0.0,0.0,0.0,0.0,0.0,9014.35,0.0,0.0,0.0,-9014.35,9014.35,9014.35,0.0,0.0,0.0,9014.35,0.0,0.0,0.2,
2017.0,4.0,45030.0,CAIB - Aportació Educació 0-3,63000.0,0.0,63000.0,0.0,0.0,61100.0,96.984096,0.0,0.0,1900.0,61100.0,61100.0,0.0,0.0,0.0,61100.0,0.0,0.0,0.2,
2017.0,4.0,45051.0,SOIB- RESCAT - PMGJ 14/16 – FORMACIÓ EN SOCORRISME I DIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,
2017.0,4.0,45052.0,"CAIB - PROJECTE  """"""""SOCARRELL"""""""" CLM 051/16",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,
2017.0,4.0,45053.0,"CAIB - PROJECTE  """"""""M@Ó""""""""  CLM 011/16",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,
2017.0,4.0,45054.0,"SOIB-PROJETE """"""""EMPENTA"""""""" AODL 36/16",0.0,52723.63,52723.63,0.0,0.0,52723.63,99.999962,0.0,0.0,0.0,52723.63,52723.63,0.0,0.0,0.0,52723.63,0.0,0.0,0.2,
2017.0,4.0,45055.0,"SOIB-PROJECTE """"""""ARRANCA""""""""  CLJQ(2ª) 044/16",0.0,287187.57,287187.57,0.0,0.0,287187.57,99.999993,0.0,0.0,0.0,287187.57,287187.57,0.0,0.0,0.0,287187.57,0.0,0.0,0.2,
2017.0,4.0,45056.0,"SOIB-PROJECTE """"""""ARRANCA2"""""""" - CLJQ(2ª) 010/16",0.0,105756.75,105756.75,0.0,0.0,105756.75,99.999981,0.0,0.0,0.0,105756.75,105756.75,0.0,0.0,0.0,105756.75,0.0,0.0,0.2,
2017.0,4.0,45057.0,SOIB- PROJECTE IMPULS PMM 22/16,0.0,184563.9,184563.9,0.0,0.0,184563.9,99.999989,0.0,0.0,0.0,184563.9,110738.34,0.0,0.0,0.0,110738.34,73825.56,14765.112,0.2,73825.56
2017.0,4.0,45058.0,SOIB- PROJECTE INTROM@O -  PMM 23/16,0.0,178590.68,178590.68,0.0,0.0,178590.68,99.999988,0.0,0.0,0.0,178590.68,107154.41,0.0,0.0,0.0,107154.41,71436.27,14287.254,0.2,71436.27
2017.0,4.0,45059.0,"CAIB - SOIB - PROJECTE ALZINAR, EXP. CAIB VM67/17",0.0,203840.4,203840.4,0.0,0.0,344490.28,168.999985,0.0,0.0,-140649.88,344490.28,140649.88,0.0,0.0,0.0,140649.88,203840.4,40768.08,0.2,203840.4
2017.0,4.0,45061.0,CAIB -MILLORA DEL TEIXIT COMERCIAL C-66/2016,0.0,5078.0,5078.0,0.0,0.0,5078.0,99.999606,0.0,0.0,0.0,5078.0,5078.0,0.0,0.0,0.0,5078.0,0.0,0.0,0.2,
2017.0,4.0,45083.0,CAIB - APORTACIONS FONS SEGURETAT PÚBLICA,0.0,0.0,0.0,0.0,0.0,51593.29,0.0,0.0,0.0,-51593.29,51593.29,51593.29,0.0,0.0,0.0,51593.29,0.0,0.0,0.2,
2017.0,4.0,46100.0,CIM - places concertades,540000.0,0.0,540000.0,0.0,0.0,568727.31,105.319868,0.0,0.0,-28727.31,568727.31,6000.0,0.0,0.0,0.0,6000.0,562727.31,112545.462,0.2,
2017.0,4.0,46103.0,CIM - Conveni Serveis Socials Comunitaris Bàsics,504000.0,0.0,504000.0,0.0,0.0,0.0,0.0,0.0,0.0,504000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,
2017.0,4.0,46104.0,CIMe.- Sou Bombers,50850.0,0.0,50850.0,0.0,0.0,0.0,0.0,0.0,0.0,50850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,
2017.0,4.0,46105.0,CIMe- CONSUM GAS,14600.0,0.0,14600.0,0.0,0.0,13528.8,92.662886,0.0,0.0,1071.2,13528.8,5926.32,0.0,0.0,0.0,5926.32,7602.48,1520.496,0.2,
2017.0,4.0,46106.0,CIMe.- CONVENI SAD 2017,19000.0,0.0,19000.0,0.0,0.0,0.0,0.0,0.0,0.0,19000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,
2017.0,4.0,46107.0,CIMe - AJUTS TEMPORALS D'EMERGÈNCIA SOCIAL,0.0,0.0,0.0,0.0,0.0,66798.24,0.0,0.0,0.0,-66798.24,66798.24,66798.24,0.0,0.0,0.0,66798.24,0.0,0.0,0.2,
2017.0,4.0,46108.0,CIMe-  CONVENI AJUTS A PERSONES MAJORS O AMB DISCAPACITAT,0.0,34118.61,34118.61,0.0,0.0,0.0,0.0,0.0,0.0,34118.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,
2017.0,4.0,46109.0,CIMe - AJUT ESCOLA MUNICIPAL MÚSICA,0.0,0.0,0.0,0.0,0.0,4189.79,0.0,0.0,0.0,-4189.79,4189.79,4189.79,0.0,0.0,0.0,4189.79,0.0,0.0,0.2,
2017.0,4.0,46118.0,CIME ACTIVITAT FISICA GENT GRAN,0.0,0.0,0.0,0.0,0.0,5958.48,0.0,0.0,0.0,-5958.48,5958.48,2961.35,0.0,0.0,0.0,2961.35,2997.13,599.426,0.2,
2017.0,4.0,46132.0,CIMe- AJUTS PER ESCOLES INFANTILS 0-3 ANYS,15163.0,0.0,15163.0,0.0,0.0,71139.3,469.163135,0.0,0.0,-55976.3,71139.3,15163.3,0.0,0.0,0.0,15163.3,55976.0,11195.2,0.2,
2017.0,4.0,46133.0,CIME-SERVEI D'INFORMACIÓ JUVENIL I ACTIVITATS DE DINAMITZAC.,0.0,0.0,0.0,0.0,0.0,5618.3,0.0,0.0,0.0,-5618.3,5618.3,5618.3,0.0,0.0,0.0,5618.3,0.0,0.0,0.2,
2017.0,4.0,46134.0,CIMe-  PROMOCIÓ ESPORT EDUCATIU A LA INFANCIA I JOVENTUT,0.0,0.0,0.0,0.0,0.0,12056.0,0.0,0.0,0.0,-12056.0,12056.0,12056.0,0.0,0.0,0.0,12056.0,0.0,0.0,0.2,
2017.0,4.0,46137.0,CIMe - CONVENI DINAMITZACIÓ COMERCIAL,0.0,16875.0,16875.0,0.0,0.0,13500.0,79.999905,0.0,0.0,3375.0,13500.0,13500.0,0.0,0.0,0.0,13500.0,0.0,0.0,0.2,
2017.0,4.0,46138.0,CIMe - APORTACIÓ CENTRE ART HDEZ SANZ,60000.0,0.0,60000.0,0.0,0.0,60000.0,99.999966,0.0,0.0,0.0,60000.0,60000.0,0.0,0.0,0.0,60000.0,0.0,0.0,0.2,
2017.0,4.0,47005.0,DONATIUS,0.0,0.0,0.0,0.0,0.0,5500.0,0.0,0.0,0.0,-5500.0,5500.0,5500.0,0.0,0.0,0.0,5500.0,0.0,0.0,0.2,
2017.0,4.0,47035.0,FEMP- PROJECTE ADHESIÓ ESTRATÈGIA DE PROMOCIÓ DE LA SALUT,0.0,0.0,0.0,0.0,0.0,2287.26,0.0,0.0,0.0,-2287.26,2287.26,2287.26,0.0,0.0,0.0,2287.26,0.0,0.0,0.2,
2017.0,4.0,47101.0,Anuncis contractacio,3000.0,0.0,3000.0,0.0,0.0,6008.25,200.273664,0.0,0.0,-3008.25,6008.25,4916.1,0.0,0.0,0.0,4916.1,1092.15,218.43,0.2,
2017.0,5.0,52000.0,Interessos Dipòsits,1000.0,0.0,1000.0,0.0,0.0,210.37,21.036579,0.0,0.0,789.63,210.37,210.37,0.0,0.0,0.0,210.37,0.0,0.0,0.2,
2017.0,5.0,54100.0,Lloguer  vivendes mpals.,9608.0,0.0,9608.0,0.0,0.0,10499.88,109.282453,0.0,0.0,-891.88,10499.88,10391.63,0.0,0.0,0.0,10391.63,108.25,21.65,0.2,
2017.0,5.0,55000.0,Conces. Administ. ús privatiu,170000.0,0.0,170000.0,0.0,0.0,177054.32,104.149587,0.0,0.0,-7054.32,177054.32,129696.88,0.0,0.0,0.0,129696.88,47357.44,9471.488,0.2,
2017.0,5.0,55001.0,Conc. Adm. Cementiri,25000.0,0.0,25000.0,0.0,0.0,25855.44,102.998077,105.9,0.0,-749.54,25749.54,25431.84,0.0,0.0,0.0,25431.84,317.7,63.54,0.2,
2017.0,5.0,55003.0,Conce. Sistema Àrea,33000.0,0.0,33000.0,0.0,0.0,0.0,0.0,0.0,0.0,33000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,
2017.0,5.0,55004.0,FUNERARIA GOMILA - Canon concessió serv. funeraris,22000.0,0.0,22000.0,0.0,0.0,0.0,0.0,0.0,0.0,22000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,
2017.0,6.0,60003.0,ALIENACIO DE SOLARS,56100.0,0.0,56100.0,0.0,0.0,62758.1,111.868231,0.0,0.0,-6658.1,62758.1,17878.16,0.0,0.0,0.0,17878.16,44879.94,8975.988,0.2,
2017.0,7.0,72004.0,Mº FOMENTO - REHABILITACIÓ PONT SANT ROC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,
2017.0,7.0,75000.0,CAIB Casa de les Aigües,6605.0,0.0,6605.0,0.0,0.0,6604.98,99.999394,0.0,0.0,0.02,6604.98,6604.98,0.0,0.0,0.0,6604.98,0.0,0.0,0.2,
2017.0,7.0,75010.0,CAIB - PUNTS RECÀR. VEHIC ELECTRICS 2016 -  PRAL 57/2016,0.0,0.0,0.0,0.0,0.0,21000.0,0.0,0.0,0.0,-21000.0,21000.0,21000.0,0.0,0.0,0.0,21000.0,0.0,0.0,0.2,
2017.0,7.0,75066.0,CAIB - CONVENI ARRU,182000.0,0.0,182000.0,0.0,0.0,160000.0,87.912078,0.0,0.0,22000.0,160000.0,160000.0,0.0,0.0,0.0,160000.0,0.0,0.0,0.2,
2017.0,7.0,76109.0,CIMe - PLA INSULAR COOPERACIÓ,352000.0,0.0,352000.0,352190.23,0.0,113337.93,32.198273,0.0,0.0,238662.07,113337.93,113337.93,0.0,0.0,0.0,113337.93,0.0,0.0,0.2,
2017.0,7.0,76125.0,CIMe - PLA INSTAL.LACIONS CULTURALS,0.0,0.0,0.0,0.0,0.0,22500.0,0.0,0.0,0.0,-22500.0,22500.0,22500.0,0.0,0.0,0.0,22500.0,0.0,0.0,0.2,
2017.0,7.0,76136.0,CIME- RESTAURACIÓ BÉNS DEL PATRIMONI HISTÒRIC,0.0,5000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,
2017.0,7.0,77002.0,HIDROBAL - Compensació conveni 2016,422744.0,0.0,422744.0,0.0,0.0,422744.0,99.999995,0.0,0.0,0.0,422744.0,0.0,0.0,0.0,0.0,0.0,422744.0,84548.8,0.2,
2017.0,7.0,77003.0,FUNERARIA GOMILA - AMORTIT. TÈCNIQUES,8100.0,0.0,8100.0,0.0,0.0,24394.29,301.16333,0.0,0.0,-16294.29,24394.29,24394.29,0.0,0.0,0.0,24394.29,0.0,0.0,0.2,
2017.0,8.0,83000.0,Bestretes Personal,60000.0,0.0,60000.0,0.0,0.0,50583.94,84.306538,0.0,0.0,9416.06,50583.94,16027.95,0.0,0.0,0.0,16027.95,34555.99,0.0,0.2,
2017.0,8.0,87000.0,Romanent de tresoreria per a despeses generals,0.0,5004329.3,5004329.3,0.0,0.0,0.0,0.0,0.0,0.0,5004329.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,
2017.0,8.0,87010.0,Per a despeses amb finançament afectat,0.0,1127187.76,1127187.76,0.0,0.0,0.0,0.0,0.0,0.0,1127187.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,
2017.0,9.0,91301.0,PRESTEC INVERSIONS,2500000.0,0.0,2500000.0,0.0,0.0,0.0,0.0,0.0,0.0,2500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,
